"","User","Experiment","Year","Domain","GenomeCode","Well"
"MLA_24MESO_BACT.M20E.D128.GP1","MLA","MESO","2024","BACT","M20E","D128"
"MLA_24MESO_BACT.M21E.D128.GP2","MLA","MESO","2024","BACT","M21E","D128"
"MLA_24MESO_BACT.M22E.D128.GP3","MLA","MESO","2024","BACT","M22E","D128"
"MLA_24MESO_BACT.M23E.D128.YP1","MLA","MESO","2024","BACT","M23E","D128"
"MLA_24MESO_BACT.M24E.D128.YP2","MLA","MESO","2024","BACT","M24E","D128"
"MLA_24MESO_BACT.M25E.D128.YP3","MLA","MESO","2024","BACT","M25E","D128"
"MLA_24MESO_BACT.M26E.D128.OP1","MLA","MESO","2024","BACT","M26E","D128"
"MLA_24MESO_BACT.M27E.D128.OP2","MLA","MESO","2024","BACT","M27E","D128"
"MLA_24MESO_BACT.M28E.D128.OP3","MLA","MESO","2024","BACT","M28E","D128"
"MLA_24MESO_BACT.M29E.D128.BP1","MLA","MESO","2024","BACT","M29E","D128"
"MLA_24MESO_BACT.M30E.D128.BP2","MLA","MESO","2024","BACT","M30E","D128"
"MLA_24MESO_BACT.M31E.D128.BP3","MLA","MESO","2024","BACT","M31E","D128"
"MLA_24MESO_BACT.M32E.D128.NC","MLA","MESO","2024","BACT","M32E","D128"
"MLA_24MESO_BACT.M34E.D128.NC","MLA","MESO","2024","BACT","M34E","D128"
"MLA_25MESO_BACT.M10E.D0.CO1","MLA","MESO","2025","BACT","M10E","D0"
"MLA_25MESO_BACT.M11E.D0.CO2","MLA","MESO","2025","BACT","M11E","D0"
"MLA_25MESO_BACT.M12E.D0.CO3","MLA","MESO","2025","BACT","M12E","D0"
"MLA_25MESO_BACT.M13E.D0.CL1","MLA","MESO","2025","BACT","M13E","D0"
"MLA_25MESO_BACT.M14E.D0.CL2","MLA","MESO","2025","BACT","M14E","D0"
"MLA_25MESO_BACT.M15E.D0.CL3","MLA","MESO","2025","BACT","M15E","D0"
"MLA_25MESO_BACT.M16.D36.SA1","MLA","MESO","2025","BACT","M16","D36"
"MLA_25MESO_BACT.M16E.D0.GW1","MLA","MESO","2025","BACT","M16E","D0"
"MLA_25MESO_BACT.M17.D36.SA2","MLA","MESO","2025","BACT","M17","D36"
"MLA_25MESO_BACT.M17E.D0.GW2","MLA","MESO","2025","BACT","M17E","D0"
"MLA_25MESO_BACT.M18.D36.SA3","MLA","MESO","2025","BACT","M18","D36"
"MLA_25MESO_BACT.M18E.D0.GW3","MLA","MESO","2025","BACT","M18E","D0"
"MLA_25MESO_BACT.M19.D36.SH1","MLA","MESO","2025","BACT","M19","D36"
"MLA_25MESO_BACT.M19E.D0.NC","MLA","MESO","2025","BACT","M19E","D0"
"MLA_25MESO_BACT.M1E.D0.SA1","MLA","MESO","2025","BACT","M1E","D0"
"MLA_25MESO_BACT.M20.D36.SH2","MLA","MESO","2025","BACT","M20","D36"
"MLA_25MESO_BACT.M21.D36.SH3","MLA","MESO","2025","BACT","M21","D36"
"MLA_25MESO_BACT.M22.D36.SS1","MLA","MESO","2025","BACT","M22","D36"
"MLA_25MESO_BACT.M23.D36.SS2","MLA","MESO","2025","BACT","M23","D36"
"MLA_25MESO_BACT.M24.D36.SS3","MLA","MESO","2025","BACT","M24","D36"
"MLA_25MESO_BACT.M25.D36.CO1","MLA","MESO","2025","BACT","M25","D36"
"MLA_25MESO_BACT.M26.D36.CO2","MLA","MESO","2025","BACT","M26","D36"
"MLA_25MESO_BACT.M27.D36.CO3","MLA","MESO","2025","BACT","M27","D36"
"MLA_25MESO_BACT.M28.D36.CL1","MLA","MESO","2025","BACT","M28","D36"
"MLA_25MESO_BACT.M29.D36.CL2","MLA","MESO","2025","BACT","M29","D36"
"MLA_25MESO_BACT.M2E.D0.SA2","MLA","MESO","2025","BACT","M2E","D0"
"MLA_25MESO_BACT.M30.D36.CL3","MLA","MESO","2025","BACT","M30","D36"
"MLA_25MESO_BACT.M31.D56.SA1","MLA","MESO","2025","BACT","M31","D56"
"MLA_25MESO_BACT.M32.D56.SA2","MLA","MESO","2025","BACT","M32","D56"
"MLA_25MESO_BACT.M33.D56.SA3","MLA","MESO","2025","BACT","M33","D56"
"MLA_25MESO_BACT.M34.D56.SH1","MLA","MESO","2025","BACT","M34","D56"
"MLA_25MESO_BACT.M35.D56.SH2","MLA","MESO","2025","BACT","M35","D56"
"MLA_25MESO_BACT.M36.D56.SH3","MLA","MESO","2025","BACT","M36","D56"
"MLA_25MESO_BACT.M37.D56.SS1","MLA","MESO","2025","BACT","M37","D56"
