"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C3","C4","C5","C6","C7","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E3","E4","E5","E6","E7","E8","E9"
"5106","bOTU_10551","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5107","bOTU_10552","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5108","bOTU_10553","d__Bacteria","p__Verrucomicrobiota","p__Verrucomicrobiota","p__Verrucomicrobiota","p__Verrucomicrobiota","p__Verrucomicrobiota","p__Verrucomicrobiota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5109","bOTU_10554","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5110","bOTU_10555","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5111","bOTU_10556","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5112","bOTU_10557","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5113","bOTU_10558","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5114","bOTU_10559","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5115","bOTU_10560","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5116","bOTU_10561","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"5117","bOTU_10562","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5118","bOTU_10563","d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
