"GW215",0,1,0,0,0,0,0,0,0
"GW217",0,1,0,0,0,0,0,0,1
"GW218",1,1,1,1,1,1,0,1,1
"GW219",1,0,0,0,0,1,0,0,0
"GW220",1,0,0,0,0,1,0,1,0
"GW222",1,0,0,0,0,0,0,1,1
"GW223",0,1,0,1,0,0,0,0,0
"GW228",0,1,0,0,0,0,0,0,0
"GW229",0,1,0,0,0,0,0,1,0
"GW230",0,1,0,0,0,0,0,1,0
"GW234",0,0,0,0,0,1,0,1,0
"GW235",0,0,0,0,0,0,1,1,0
"GW237",0,0,0,0,0,0,0,1,1
"GW238",0,0,0,0,0,0,0,1,0
"GW239",1,1,0,1,0,0,0,1,0
"GW242",0,1,0,0,0,0,0,1,0
"GW243",0,0,0,0,0,0,0,1,0
"GW244",0,0,0,0,0,0,0,1,0
"GW246",0,0,0,0,1,1,0,1,0
"GW247",0,0,0,0,0,0,0,1,0
"GW248",0,0,0,0,0,0,0,1,0
"GW249",0,0,0,0,1,1,0,0,0
"GW250",0,0,0,0,1,1,0,1,0
"GW258",0,0,0,0,0,1,0,0,0
"GW259",1,1,0,0,0,0,0,0,0
"GW26",0,0,0,0,1,1,0,1,0
"GW263",1,0,0,0,0,0,0,0,0
"GW265",1,1,1,1,1,1,1,1,1
"GW266",0,1,0,0,0,1,0,0,0
"GW267",1,1,0,0,0,0,0,1,1
"GW270",1,0,0,0,0,0,0,0,0
"GW273",0,1,0,0,0,1,0,1,0
"GW274",0,1,0,0,0,0,0,0,1
"GW275",0,1,0,0,0,1,0,1,1
"GW276",0,0,0,0,0,0,0,1,0
"GW277",0,1,0,0,0,0,0,1,1
"GW278",0,0,0,0,0,0,0,0,1
"GW279",0,0,0,0,0,0,0,1,0
"GW280",1,0,0,0,0,0,0,0,0
"GW281",0,0,0,0,0,0,0,1,1
"GW286",0,1,0,0,0,0,0,0,0
"GW289",0,0,0,0,0,0,0,0,1
"GW291",0,1,0,0,0,0,0,0,0
"GW292",0,0,0,0,0,0,0,1,1
"GW294",0,0,0,0,0,1,0,1,1
"GW295",0,0,0,0,0,1,0,1,1
"GW298",1,0,0,0,0,0,0,0,0
"GW3002",0,1,0,0,0,0,0,0,0
"GW3004",0,1,0,1,1,1,1,1,0
"GW301",0,0,0,0,0,0,0,0,1
"GW3010",1,0,0,1,0,0,0,1,1
"GW3016",0,0,0,0,0,0,0,1,0
"GW3018",0,0,1,1,0,1,0,1,0
"GW3021",0,1,0,1,0,0,0,0,1
"GW3022",0,0,1,0,0,0,0,1,0
"GW3026",1,1,1,1,1,1,0,1,0
"GW3028",0,0,0,0,0,1,0,1,0
"GW3050",0,1,0,0,0,0,0,0,1
"GW3053",0,1,0,0,0,0,0,1,0
"GW3069",0,0,0,0,0,0,1,0,0
"GW3073",0,0,0,0,0,0,0,1,0
"GW3089",0,0,0,1,1,1,0,0,1
"GW3098",0,0,0,0,0,0,0,1,0
"GW3099",0,0,0,0,0,0,0,1,0
"GW310",0,0,0,0,0,0,0,0,1
"GW3103",0,0,0,0,0,0,0,1,1
"GW3104",1,1,0,1,1,1,0,1,1
"GW311",0,1,0,0,0,0,0,1,0
"GW312",0,1,0,0,0,1,0,1,1
"GW313",0,1,0,0,0,1,0,1,0
"GW314",0,0,0,0,0,0,0,0,1
"GW328",0,0,0,0,0,0,0,0,1
"GW329",0,0,0,0,0,1,1,1,0
"GW33",0,0,1,0,0,0,0,0,0
"GW332",0,1,0,0,0,0,0,0,1
"GW333",1,0,0,0,0,0,0,1,1
"GW338",1,0,0,0,1,1,0,0,0
"GW339",0,0,0,0,0,0,1,1,1
"GW340",0,1,0,0,0,1,0,0,1
"GW341",1,0,0,0,1,1,0,0,0
"GW364",0,0,0,0,0,0,0,0,1
"GW369",0,0,0,0,1,1,0,1,0
"GW373",1,1,0,0,1,1,0,1,1
"GW374",0,0,0,0,1,1,0,1,1
"GW376",0,0,0,0,0,0,0,0,1
"GW377",0,0,0,0,0,1,0,0,0
"GW378",0,1,0,0,0,0,0,1,0
"GW379",0,1,0,0,1,1,0,1,0
"GW381",1,1,0,1,1,1,1,1,1
"GW384",0,1,0,0,0,0,0,0,0
"GW386",0,0,0,0,0,0,0,0,1
"GW387",1,0,0,0,1,1,1,1,1
"GW389",0,0,0,0,0,1,1,1,0
"GW398",1,1,1,1,0,0,0,0,0
"GW4016",0,1,0,0,0,0,0,0,1
"GW429",0,0,0,0,0,0,0,1,1
"GW439",1,0,0,1,0,0,0,0,0
"GW44",0,0,0,0,1,0,0,1,0
"GW449",0,0,1,0,0,1,0,0,1
"GW456",0,1,0,0,0,0,0,0,1
"GW481",0,0,0,0,0,0,0,0,1
"GW50",0,0,0,0,0,0,0,1,0
"GW59",0,0,1,0,0,0,0,0,0
"GW61",0,0,1,0,0,0,0,0,0
"GW62",0,0,1,0,0,0,0,0,0
"GW626",0,0,0,0,0,0,0,0,1
"GW628",0,0,0,0,0,0,0,0,1
"GW759",0,0,0,0,0,0,0,0,1
"GW760",1,1,1,1,1,1,0,1,1
"GW761",0,0,0,0,0,0,0,1,0
