Feature ID	Taxon	Confidence
5cc9f202323c60e5561e89edaa7674fc0d27a4a7	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__	0.994310478028032
30410f6faad6bd15bdf5375aad147cf77a3107aa	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__	0.9176411068801376
e84253a9569a6355e0a060b5038635125d7b3e1d	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.9997400428555722
c327aaadc66d8df8c962da76b22aaf4d7a8051f1	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta;s__	0.9999991717867565
8baa112cb43e1a29d9aed78c5f2cc3df4420f615	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Candidatus_Nitrotoga;s__	0.7291525281784631
b8400ef02aa7fffa64921876b9fea58a2f7a2075	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	0.9998901537741536
a4e696eb8670b25814b08268a02e90f623e11be6	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Roizmanbacteria;f__Candidatus_Roizmanbacteria;g__Candidatus_Roizmanbacteria;s__	0.9999997909883339
f9db8aaee5767d1a04e49bd93f734618af238606	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__	0.9996523925965882
23b079b52c4264b4d6a9945437f1b07c6c162111	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	0.7100848619106256
23a1e512b999aa8aa9d6e6af3d00388697ff7b8d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.9997395468008534
f47ae130766605640b317aa2bf16df70ad3b4ddf	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	0.9998803688389919
5161dce1064caace26ddaf278c11967b9ff88c18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	0.9994653124677738
2c9b34753113e2024bb4a47362bbf848722f5d50	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__KD3-93;g__KD3-93;s__	0.9999290360301364
75d9710dfbb7c3db877b67ade72990ce18d567c6	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__	0.9995574572902164
f690b8a7b55914c0d4195b8fe9d514e1b8e8004f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__	0.9691226111356491
fe16ac834140508e23127c4f8b593640bb7986fc	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0.9996394743475013
b65c987e9abb345f952773586fd095965cc91ff9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.9986659970719318
34b497a761b04d1fedc3182ed2f22a56d042cba8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0.9999950812614612
9d95370f6408b24275a88eea9cd886a40746d70c	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanolobus;s__	0.9938776700101241
b1827592ad0b04057212c2e8ac513acfe04e0a8f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	0.9658881280104211
28e7fde4d175cdab382a072cb053171a5d7fe954	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiales;g__Methanomicrobiales;s__	0.9971101386727048
26ded4e0c977b0e6129dcf39295cd838bcfb519d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.9956480150570858
c7be4fc105229811ad82d41e48f15f339d52cd09	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__	0.8078983894512457
2c75cb32afbc4860d6fd90cb8a447339ca5fc773	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__	0.9630449000148581
02b55bcc923ceb26a05e1494e921b9465ba5258d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0.9999693513869553
f4624e1563759fe298a1f394a0129fee71796062	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	0.9999999829845765
00d7cbe8696367d8ec7cfe14bf4089364b1ef617	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	0.7775037907027483
