"","20GWC20082-GOWN113","22GWC22040-GOWN3026","22GWC22042-GOWN983","22GWC22050-GOWN117","21GWC21030-GOWN265","21GWC21030-GOWN265-ST","AOB-NOB-GOWN983","21GWO10014-01-GOWN246"
"OTU_403",3.85,0,0,5.15,0,0,0,0
"OTU_404",1.18,0,0,0.77,0,0,0,0
"OTU_405",3.97,0,0.45,3.52,0,0,0,0
"OTU_406",0.63,0,0,0.67,0,0,0,0
"OTU_407",0,0,0,0,0,0,0,0
"OTU_408",0,0,0,0,0,0,0,0
"OTU_409",0.14,0,0,0,0,0,0,0
"OTU_410",0.45,0,0,0,0,0,0,0
"OTU_411",0.41,0,0,0,0,0,0,0
"OTU_412",1.77,0.9,0,6.72,0,0,0,0
"OTU_413",0.32,0,0,0,0,0,0,0
"OTU_414",0.26,0,0,0,0,0,0,0
"OTU_415",0.26,0,0,0.53,0,0,0,0
"OTU_416",0.48,0,0,0.13,0,0,0,0
"OTU_417",0,0,0,0,0,0,0,0
"OTU_418",0,0,0,0,0,0,0,0
"OTU_419",3.72,0,0.87,0,10.46,0,0,0.79
"OTU_420",2.42,0,0.67,1.11,0,0,0,0.29
"OTU_421",0.82,0,0,1.12,0,0,0,0
"OTU_422",1.43,0,0,0,0,0,0,0
"OTU_423",0.52,0,0,1.34,0,0,0,0
"OTU_424",1.23,0,0,0,0,0,0,0
"OTU_425",0.38,0,0,0,0,0,0,0
"OTU_426",2.42,0,0,5.11,0,0,0,0
"OTU_427",4.25,0,0.15,0,0,0,0,0
"OTU_428",0,0,0,0,0,0,0,0
"OTU_429",1.42,0,1.35,0,0.72,0,0,0.02
"OTU_430",0.39,0,0.82,0,0,0,0,0
"OTU_431",0.18,0,0,0,0,0,0,0
"OTU_432",0.72,0,0,0,0,0,0,0
"OTU_433",0.07,0,0,0,0,0,0,0
"OTU_434",0.26,0,0.2,1.23,0,0,0,0
"OTU_435",0.75,0,1.42,0.49,2.65,0,0,1.89
"OTU_436",0.43,0,0.13,0,0,0,0,0
"OTU_437",0,0,0.26,0,0,0,0,0
"OTU_438",2.3,1.89,1.74,0,0,0,0.51,0
"OTU_439",0.72,0,0,1.52,0,0,0,0
"OTU_440",0.46,0,0,0,0,0,0,0
"OTU_441",0.19,0,0,0,0,0,0,0
"OTU_442",1.81,1.75,0,0.45,0,0,0,0
"OTU_443",0.7,1.29,0,2.41,0,0,0,0
"OTU_444",0.77,8.17,0,0,0,0,0,0
"OTU_445",0.34,0.2,0,0,0,0,0,0
"OTU_446",0,0,0,0,0,0,0,0
"OTU_447",0.45,1.05,0,0.38,0,0,0,0
"OTU_448",0.06,0,0,0.22,0,0,0,0
"OTU_449",0.39,2.25,3.74,1.67,0,0,7.02,0
"OTU_450",0.38,2.18,4.02,0.85,0,0,0.58,0
"OTU_451",0,1.69,0.81,0.25,0,0,0.07,0
"OTU_452",0.36,1.09,0.16,1.44,0,0,0,0
"OTU_453",0.6,0,0,0.51,0,0,0,0
"OTU_454",0.53,0,0.91,0.58,0.32,0,0,0
"OTU_455",0.67,0,0,0,0,0,0,0
