Plate_Location,Sample,Day,Setup,DilutionCorr,Rock_Type,REP,Absorbance (640nm),Amount NH3 (mg NH3-N/L),Amount NH3_Dilution_Corr (mg NH3-N/L),Amount_NH3,,,,,,,,,
P1-H12,D36-SS-3,36,SS,1,Sandstone,3,0.234,0.304271632,0.304271632,0.304271632,,,,,,,,,
P2-A7,D44-CL-1,44,CL,1,No_Rocks,1,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P2-A8,D44-CL-2,44,CL,1,No_Rocks,2,0.053,-0.092223439,-0.092223439,0,,,,,,,,,
P2-A9,D44-CL-3,44,CL,1,No_Rocks,3,0.05,-0.098795181,-0.098795181,0,,,,,,,,,
P2-A10,D44-SH-1,44,SH,1,Shale,1,0.239,0.315224535,0.315224535,0.315224535,,,,,,,,,
P2-A11,D44-SH-2,44,SH,1,Shale,2,0.242,0.321796276,0.321796276,0.321796276,,,,,,,,,
P2-A12,D44-SH-3,44,SH,1,Shale,3,0.185,0.196933187,0.196933187,0.196933187,,,,,,,,,
P2-B1,D44-SA-1,44,SA,1,Sand,1,0.071,-0.05279299,-0.05279299,0,,,,,,,,,
P2-B2,D44-SA-2,44,SA,1,Sand,2,0.079,-0.035268346,-0.035268346,0,,,,,,,,,
P2-B3,D44-SA-3,44,SA,1,Sand,3,0.094,-0.002409639,-0.002409639,0,,,,,,,,,
P2-B4,D44-CO-1,44,CO,1,Coal,1,0.512,0.913253012,0.913253012,0.913253012,,,,,,,,,
P2-B5,D44-CO-2,44,CO,1,Coal,2,0.568,1.03592552,1.03592552,1.03592552,,,,,,,,,
P2-B6,D44-CO-3,44,CO,1,Coal,3,0.476,0.834392114,0.834392114,0.834392114,,,,,,,,,
P2-B7,D44-SS-1,44,SS,1,Sandstone,1,0.124,0.063307777,0.063307777,0.063307777,,,,,,,,,
P2-B8,D44-SS-2,44,SS,1,Sandstone,2,0.179,0.183789704,0.183789704,0.183789704,,,,,,,,,
P2-B9,D44-SS-3,44,SS,1,Sandstone,3,0.193,0.214457831,0.214457831,0.214457831,,,,,,,,,
P2-B10,D50-CL-1,50,CL,1,No_Rocks,1,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P2-B11,D50-CL-2,50,CL,1,No_Rocks,2,0.051,-0.0966046,-0.0966046,0,,,,,,,,,
P2-B12,D50-CL-3,50,CL,1,No_Rocks,3,0.05,-0.098795181,-0.098795181,0,,,,,,,,,
P2-C1,D50-SH-1,50,SH,1,Shale,1,0.218,0.269222344,0.269222344,0.269222344,,,,,,,,,
P2-C2,D50-SH-2,50,SH,1,Shale,2,0.165,0.153121577,0.153121577,0.153121577,,,,,,,,,
P2-C3,D50-SH-3,50,SH,1,Shale,3,0.142,0.102738226,0.102738226,0.102738226,,,,,,,,,
P2-C4,D50-SA-1,50,SA,1,Sand,1,0.079,-0.035268346,-0.035268346,0,,,,,,,,,
P2-C5,D50-SA-2,50,SA,1,Sand,2,0.075,-0.044030668,-0.044030668,0,,,,,,,,,
P2-C6,D50-SA-3,50,SA,1,Sand,3,0.104,0.019496166,0.019496166,0.019496166,,,,,,,,,
P2-C7,D50-CO-1,50,CO,1,Coal,1,0.625,1.160788609,1.160788609,1.160788609,,,,,,,,,
P2-C8,D50-CO-2,50,CO,1,Coal,2,0.595,1.095071194,1.095071194,1.095071194,,,,,,,,,
P2-C9,D50-CO-3,50,CO,1,Coal,3,0.471,0.823439211,0.823439211,0.823439211,,,,,,,,,
P2-C10,D50-SS-1,50,SS,1,Sandstone,1,0.172,0.168455641,0.168455641,0.168455641,,,,,,,,,
P2-C11,D50-SS-2,50,SS,1,Sandstone,2,0.138,0.093975904,0.093975904,0.093975904,,,,,,,,,
P2-C12,D50-SS-3,50,SS,1,Sandstone,3,0.162,0.146549836,0.146549836,0.146549836,,,,,,,,,
P2-D1,D56-CL-1,56,CL,1,No_Rocks,1,0.056,-0.085651698,-0.085651698,0,,,,,,,,,
P2-D2,D56-CL-2,56,CL,1,No_Rocks,2,0.056,-0.085651698,-0.085651698,0,,,,,,,,,
P2-D3,D56-CL-3,56,CL,1,No_Rocks,3,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P2-D4,D56-SH-1,56,SH,1,Shale,1,0.148,0.115881709,0.115881709,0.115881709,,,,,,,,,
P2-D5,D56-SH-2,56,SH,1,Shale,2,0.193,0.214457831,0.214457831,0.214457831,,,,,,,,,
P2-D6,D56-SH-3,56,SH,1,Shale,3,0.233,0.302081051,0.302081051,0.302081051,,,,,,,,,
P2-D7,D56-SA-1,56,SA,1,Sand,1,0.081,-0.030887185,-0.030887185,0,,,,,,,,,
P2-D8,D56-SA-2,56,SA,1,Sand,2,0.072,-0.05060241,-0.05060241,0,,,,,,,,,
P2-D9,D56-SA-3,56,SA,1,Sand,3,0.087,-0.017743702,-0.017743702,0,,,,,,,,,
P2-D10,D56-CO-1,56,CO,1,Coal,1,0.652,1.219934283,1.219934283,1.219934283,,,,,,,,,
P2-D11,D56-CO-2,56,CO,1,Coal,2,0.683,1.287842278,1.287842278,1.287842278,,,,,,,,,
P2-D12,D56-CO-3,56,CO,1,Coal,3,0.444,0.764293538,0.764293538,0.764293538,,,,,,,,,
P2-E1,D56-SS-1,56,SS,1,Sandstone,1,0.121,0.056736035,0.056736035,0.056736035,,,,,,,,,
P2-E2,D56-SS-2,56,SS,1,Sandstone,2,0.119,0.052354874,0.052354874,0.052354874,,,,,,,,,
P2-E3,D56-SS-3,56,SS,1,Sandstone,3,0.125,0.065498357,0.065498357,0.065498357,,,,,,,,,
P2-E4,D65-CL-1,65,CL,1,No_Rocks,1,0.055,-0.087842278,-0.087842278,0,,,,,,,,,
P2-E5,D65-CL-2,65,CL,1,No_Rocks,2,0.054,-0.090032859,-0.090032859,0,,,,,,,,,
P2-E6,D65-CL-3,65,CL,1,No_Rocks,3,0.053,-0.092223439,-0.092223439,0,,,,,,,,,
P2-E7,D65-SH-1,65,SH,1,Shale,1,0.121,0.056736035,0.056736035,0.056736035,,,,,,,,,
P2-E8,D65-SH-2,65,SH,1,Shale,2,0.119,0.052354874,0.052354874,0.052354874,,,,,,,,,
P2-E9,D65-SH-3,65,SH,1,Shale,3,0.117,0.047973713,0.047973713,0.047973713,,,,,,,,,
P2-E10,D65-SA-1,65,SA,1,Sand,1,0.063,-0.070317634,-0.070317634,0,,,,,,,,,
P2-E11,D65-SA-2,65,SA,1,Sand,2,0.067,-0.061555312,-0.061555312,0,,,,,,,,,
P2-E12,D65-SA-3,65,SA,1,Sand,3,0.071,-0.05279299,-0.05279299,0,,,,,,,,,
P2-F1,D65-CO-1,65,CO,1,Coal,1,0.644,1.202409639,1.202409639,1.202409639,,,,,,,,,
P2-F2,D65-CO-2,65,CO,1,Coal,2,0.76,1.456516977,1.456516977,1.456516977,,,,,,,,,
