"","ASVs","Domain","Phylum","Class","Order","Family","Genus","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"7331","ASV10140"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Ga0077536"," f__Ga0077536"," g__JADJYF01",0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,9,0,4,0,0
"7332","ASV10142"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__QHBQ01"," f__JADMIH01"," g__JADMIH01",0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,2,0,0,4,1,0,0
"7333","ASV10143"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Phycisphaerales"," f__Phycisphaeraceae"," g__JADZCR01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
"7334","ASV10144"," d__Bacteria"," p__Actinomycetota"," c__Geothermincolia"," o__Fen-727"," f__Anoxymicrobiaceae"," g__JAENXM01",0,0,0,0,0,0,0,0,0,2,0,0,0,100,1,0,0,0,0,0,3,0,19,0,6
"7335","ASV10148"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Chitinimonadaceae"," g__JAFAKZ01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"7336","ASV10152"," d__Bacteria"," p__Sumerlaeota"," c__Sumerlaeia"," o__UBA8349"," f__UBA8349"," g__JAFGFN01",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0
"7337","ASV10153"," d__Bacteria"," p__Elusimicrobiota"," c__Endomicrobiia"," o__Endomicrobiales"," f__JAFGGC01"," g__JAFGGC01",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"7338","ASV10154"," d__Bacteria"," p__Planctomycetota"," c__SZUA-567"," o__JAFGGJ01"," f__JAFGGJ01"," g__JAFGGJ01",0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0
"7339","ASV10155"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__UBA1429"," f__UBA1429"," g__JAFGLK01",0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"7340","ASV10157"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__SZUA-6"," f__RPPD01"," g__JAFGSW01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"7341","ASV10158"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__UBA10428"," g__JAFGSZ01",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
"7342","ASV10163"," d__Bacteria"," p__Bdellovibrionota"," c__UBA2361"," o__UBA2361"," f__JAGFJO01"," g__JAGFJO01",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7343","ASV10164"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__GCA-002788555"," g__JAGGUF01",0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,1,0,0,0,0,0,3,0,0,0
"7344","ASV10166"," d__Archaea"," p__Thermoplasmatota"," c__Thermoplasmata"," o__RBG-16-68-12"," f__SOIM01"," g__JAGLME01",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,6,0,0,1
"7345","ASV10167"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__GIF9"," f__AB-539-J10"," g__JAGMDB01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
"7346","ASV10168"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__JAGOPY01"," g__JAGOPY01",0,0,0,0,0,0,0,0,0,21,0,0,0,34,2,1,0,0,0,0,0,0,1,0,0
"7347","ASV10169"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Phycisphaerales"," f__SM1A02"," g__JAGQOG01",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7348","ASV10170"," d__Archaea"," p__Aenigmatarchaeota"," c__Aenigmatarchaeia"," o__CG10238-14"," f__SCSR01"," g__JAGVVV01",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0
