"","Domain","Phylum","Class","Order","Family","Genus"
"ASV37"," d__Bacteria"," p__Chloroflexota"," c__Limnocylindria"," o__Limnocylindrales"," f__CSP1-4"," f__CSP1-4"
"ASV38"," d__Bacteria"," p__Methylomirabilota"," c__Methylomirabilia"," o__Rokubacteriales"," f__CSP1-6"," f__CSP1-6"
"ASV39"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Caulobacterales"," f__Caulobacteraceae"," f__Caulobacteraceae"
"ASV40"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Cellulomonadaceae"," f__Cellulomonadaceae"
"ASV41"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Chitinophagales"," f__Chitinophagaceae"," f__Chitinophagaceae"
"ASV42"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__DSM-8532"," f__DSM-8532"," f__DSM-8532"
"ASV43"," d__Bacteria"," p__Desulfobacterota_E"," c__Deferrimicrobia"," o__Deferrimicrobiales"," f__Deferrimicrobiaceae"," f__Deferrimicrobiaceae"
"ASV44"," d__Bacteria"," p__Desulfobacterota_C"," c__Deferrisomatia"," o__Deferrisomatales"," f__Deferrisomataceae"," f__Deferrisomataceae"
"ASV45"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__Desulfobacteraceae"," f__Desulfobacteraceae"
"ASV46"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__Desulfosalsimonadaceae"," f__Desulfosalsimonadaceae"
"ASV47"," d__Bacteria"," p__Desulfobacterota"," c__Desulfovibrionia"," o__Desulfovibrionales"," f__Desulfovibrionaceae"," f__Desulfovibrionaceae"
"ASV48"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobulbia"," o__Desulfobulbales"," f__Desulfurivibrionaceae"," f__Desulfurivibrionaceae"
"ASV49"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Devosiaceae"," f__Devosiaceae"
"ASV50"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__Eggerthellaceae"," f__Eggerthellaceae"
"ASV51"," d__Bacteria"," p__Bacillota_I"," c__Bacilli_A"," o__Erysipelotrichales"," f__Erysipelotrichaceae"," f__Erysipelotrichaceae"
"ASV52"," d__Bacteria"," p__Edwardsbacteria"," c__AC1"," o__AC1"," f__EtOH8"," f__EtOH8"
"ASV53"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Fen-336"," f__Fen-336"," f__Fen-336"
"ASV54"," d__Bacteria"," p__Armatimonadota"," c__Fimbriimonadia"," o__Fimbriimonadales"," f__Fimbriimonadaceae"," f__Fimbriimonadaceae"
"ASV55"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," f__Flavobacteriaceae"
"ASV56"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Pacearchaeales"," f__GW2011-AR1"," f__GW2011-AR1"
"ASV57"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__GWA2-37-8"," f__GWA2-37-8"
"ASV58"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__GWC2-71-9"," f__GWC2-71-9"
"ASV59"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Gallionellaceae"," f__Gallionellaceae"
"ASV60"," d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__HGW-17"," f__HGW-17"," f__HGW-17"
"ASV61"," d__Bacteria"," p__Bacteroidota"," c__Rhodothermia"," o__Balneolales"," f__HLUCCA01"," f__HLUCCA01"
"ASV62"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Iamiaceae"," f__Iamiaceae"
"ASV63"," d__Archaea"," p__Aenigmatarchaeota"," c__Aenigmatarchaeia"," o__Aenigmatarchaeales"," f__JAADFI01"," f__JAADFI01"
"ASV64"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__JAAXUF01"," f__JAAXUF01"
"ASV65"," d__Bacteria"," p__Desulfobacterota_C"," c__Deferrisomatia"," o__Deferrisomatales"," f__JACRMM01"," f__JACRMM01"
"ASV66"," d__Archaea"," p__Thermoplasmatota"," c__JASEFT01"," o__JASEFT01"," f__JAUWIS01"," f__JAUWIS01"
"ASV67"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__MFAQ01"," f__MFAQ01"
"ASV68"," d__Archaea"," p__Halobacteriota"," c__Methanocellia"," o__Methanocellales"," f__Methanocellaceae"," f__Methanocellaceae"
"ASV69"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Methylococcales"," f__Methylomonadaceae"," f__Methylomonadaceae"
"ASV70"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Methylophilaceae"," f__Methylophilaceae"
"ASV71"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," f__Microbacteriaceae"
"ASV72"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," f__Moraxellaceae"
"ASV73"," d__Bacteria"," p__Myxococcota"," c__Myxococcia"," o__Myxococcales"," f__Myxococcaceae"," f__Myxococcaceae"
"ASV74"," d__Archaea"," p__Nanohaloarchaeota"," c__Nanosalinia"," o__Nanosalinales"," f__Nanosalinaceae"," f__Nanosalinaceae"
"ASV75"," d__Bacteria"," p__Bacteroidota"," c__Rhodothermia"," o__Balneolales"," f__Natronogracilivirgulaceae"," f__Natronogracilivirgulaceae"
"ASV76"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Nevskiales"," f__Nevskiaceae"," f__Nevskiaceae"
"ASV77"," d__Bacteria"," p__Actinomycetota"," c__Nitriliruptoria"," o__Nitriliruptorales"," f__Nitriliruptoraceae"," f__Nitriliruptoraceae"
"ASV78"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Nitrosomonadaceae"," f__Nitrosomonadaceae"
"ASV79"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Nocardioidaceae"," f__Nocardioidaceae"
"ASV80"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Opitutales"," f__Opitutaceae"," f__Opitutaceae"
"ASV81"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Oscillospirales"," f__Oscillospiraceae"," f__Oscillospiraceae"
"ASV82"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Paludibacteraceae"," f__Paludibacteraceae"
"ASV83"," d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Polyangiales"," f__Polyangiaceae"," f__Polyangiaceae"
"ASV84"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," f__Profunditerraquicolaceae"
"ASV85"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Prolixibacteraceae"," f__Prolixibacteraceae"
"ASV86"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Propionibacteriaceae"," f__Propionibacteriaceae"
"ASV87"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudohongiellaceae"," f__Pseudohongiellaceae"
"ASV88"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," f__Pseudomonadaceae"
"ASV89"," d__Bacteria"," p__Acidobacteriota"," c__Blastocatellia"," o__Pyrinomonadales"," f__Pyrinomonadaceae"," f__Pyrinomonadaceae"
"ASV90"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__RBG-16-60-22"," f__RBG-16-60-22"
"ASV91"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__RBG-16-64-13"," f__RBG-16-64-13"," f__RBG-16-64-13"
"ASV92"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__Rectinemataceae"," f__Rectinemataceae"
"ASV93"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," f__Rhizobiaceae"
"ASV94"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," f__Rhodobacteraceae"
"ASV95"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Rhodocyclaceae"," f__Rhodocyclaceae"
"ASV96"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SG8-41"," f__SG8-41"
"ASV97"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__SLCP01"," f__SLCP01"
"ASV98"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__SM23-35"," f__SM23-35"
"ASV99"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__Smithellaceae"," f__Smithellaceae"
"ASV100"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Solirubrobacteraceae"," f__Solirubrobacteraceae"
"ASV101"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," f__Sphingobacteriaceae"
"ASV102"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," f__Sphingomonadaceae"
"ASV103"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__Staskawiczbacteraceae"," f__Staskawiczbacteraceae"
"ASV104"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Streptomycetales"," f__Streptomycetaceae"," f__Streptomycetaceae"
"ASV105"," d__Bacteria"," p__Bacillota_B"," c__Desulfitobacteriia"," o__Desulfitobacteriales"," f__Syntrophobotulaceae"," f__Syntrophobotulaceae"
"ASV106"," d__Archaea"," p__Methanobacteriota_B"," c__Thermococci"," o__Thermococcales"," f__Thermococcaceae"," f__Thermococcaceae"
"ASV107"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Thiobacillaceae"," f__Thiobacillaceae"
"ASV108"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA10030"," f__UBA10030"
"ASV109"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__UBA12059"," f__UBA12059"
"ASV110"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__UBA12108"," f__UBA12108"
"ASV111"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__UBA1546"," f__UBA1546"
"ASV112"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA2185"," f__UBA2185"
"ASV113"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__UBA2241"," f__UBA2241"," f__UBA2241"
"ASV114"," d__Bacteria"," p__Bacteroidota"," c__Kapaibacteriia"," o__Kapaibacteriales"," f__UBA2268"," f__UBA2268"
"ASV115"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," f__UBA2999"
"ASV116"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA5619"," f__UBA5619"
"ASV117"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__Thermomicrobiales"," f__UBA6265"," f__UBA6265"
"ASV118"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__UBA6898"," f__UBA6898"
"ASV119"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__UBA7662"," f__UBA7662"," f__UBA7662"
"ASV120"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__UBA8131"," f__UBA8131"
"ASV121"," d__Bacteria"," p__Bacillota_D"," c__Dethiobacteria"," o__DTU022"," f__UBA8154"," f__UBA8154"
"ASV122"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__UBA912"," f__UBA912"
"ASV123"," d__Bacteria"," p__Nitrospirota"," c__UBA9217"," o__UBA9217"," f__UBA9217"," f__UBA9217"
"ASV124"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," f__UBA922"
"ASV125"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__UBA9933"," f__UBA9933"
"ASV126"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9983"," f__UBA9983"," f__UBA9983"
"ASV127"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UM-FILTER-43-11"," f__UM-FILTER-43-11"," f__UM-FILTER-43-11"
"ASV128"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__Verrucomicrobiaceae"," f__Verrucomicrobiaceae"
"ASV129"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Vicingaceae"," f__Vicingaceae"
"ASV130"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," f__Xanthobacteraceae"
"ASV131"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," f__Xanthomonadaceae"
"ASV132"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__JABMNX01"," g__1-14-0-10-49-17"
"ASV133"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," g__12-FULL-67-14b"
"ASV134"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__2-02-FULL-40-12"," f__GWA2-44-9"," g__2-01-FULL-41-26"
"ASV135"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__Staskawiczbacteraceae"," g__2-02-FULL-34-10"
"ASV136"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA10092"," f__UBA10092"," g__2-02-FULL-45-18"
"ASV137"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SG8-39"," g__2-02-FULL-63-19"
"ASV138"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SG8-39"," g__2-12-FULL-64-23"
"ASV139"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Dethiosulfatibacteraceae"," g__38-11"
"ASV140"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Gallionellaceae"," g__39-52-133"
"ASV141"," d__Archaea"," p__Thermoproteota"," c__Bathyarchaeia"," o__40CM-2-53-6"," f__40CM-2-53-6"," g__40CM-2-53-6"
"ASV142"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Rhodanobacteraceae"," g__66-474"
"ASV143"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__70-9"," g__67-14"
"ASV144"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__73-13"
"ASV145"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__GIF9"," f__UBA5620"," g__9FT-COMBO-48-23"
"ASV146"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__AC-25"," g__AC-25"
"ASV147"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__ARS1013"," g__ARS1013"
"ASV148"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Microtrichaceae"," g__AWTP1-35"
"ASV149"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Eubacteriales"," f__Eubacteriaceae"," g__Acetobacterium"
"ASV150"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Aceulaceae"," g__Aceula"
"ASV151"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Acidaminobacteraceae"," g__Acidaminobacter"
"ASV152"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Acetobacterales"," f__Acetobacteraceae"," g__Acidisoma"
"ASV153"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Acidovorax"
"ASV154"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter"
"ASV155"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Cellulomonadaceae"," g__Actinotalea"
"ASV156"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Peptoniphilaceae"," g__Aedoeadaptatus"
"ASV157"," d__Bacteria"," p__Fermentibacterota"," c__Fermentibacteria"," o__Fermentibacterales"," f__Fermentibacteraceae"," g__Aegiribacteria"
"ASV158"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Nocardioidaceae"," g__Aeromicrobium"
"ASV159"," d__Archaea"," p__Thermoproteota"," c__Thermoprotei_A"," o__Sulfolobales"," f__Acidilobaceae"," g__Aeropyrum"
"ASV160"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," g__Afipia"
"ASV161"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Agitococcus"
"ASV162"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Agrococcus"
"ASV163"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Agromyces"
"ASV164"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Albidovulum"
"ASV165"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Alcalisalibacterium"
"ASV166"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Cytophagales"," f__Cyclobacteriaceae"," g__Algoriphagus"
"ASV167"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Amaricoccus"
"ASV168"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Amnibacterium"
"ASV169"," d__Bacteria"," p__Bacillota"," c__Bacilli"," o__Bacillales_H"," f__Anaerobacillaceae"," g__Anaerobacillus"
"ASV170"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Eubacteriales"," f__Anaerofustaceae"," g__Anaerofustis"
"ASV171"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Anaerolineales"," f__Anaerolineaceae"," g__Anaerolinea"
"ASV172"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Thermotaleaceae"," g__Anaerosolibacter"
"ASV173"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__Anseongella"
"ASV174"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Aquabacterium_A"
"ASV175"," d__Bacteria"," p__Actinomycetota"," c__Aquicultoria"," o__Aquicultorales"," f__Aquicultoraceae"," g__Aquicultor"
"ASV176"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Cytophagales"," f__Cyclobacteriaceae"," g__Aquiflexum"
"ASV177"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Iamiaceae"," g__Aquihabitans"
"ASV178"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Aquimonas"
"ASV179"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Propionibacteriaceae"," g__Arachnia"
"ASV180"," d__Archaea"," p__Halobacteriota"," c__Archaeoglobi"," o__Archaeoglobales"," f__Archaeoglobaceae"," g__Archaeoglobus_A"
"ASV181"," d__Archaea"," p__Halobacteriota"," c__Archaeoglobi"," o__Archaeoglobales"," f__Archaeoglobaceae"," g__Archaeoglobus_B"
"ASV182"," d__Bacteria"," p__Myxococcota"," c__Myxococcia"," o__Myxococcales"," f__Myxococcaceae"," g__Archangium_A"
"ASV183"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__DEV007"," g__Arctic95D-9"
"ASV184"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Arenimonas"
"ASV185"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Micrococcaceae"," g__Arthrobacter"
"ASV186"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Caulobacterales"," f__Caulobacteraceae"," g__Asticcacaulis"
"ASV187"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Aurantimicrobium"
"ASV188"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Propionibacteriaceae"," g__Auraticoccus"
"ASV189"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Azomonas"
