"","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV19",1,2,60,11,2,0,0,9,65,5,1,23,1,261,20,652,3,0,7,0,11,893,53,9,4
"ASV20",16,13,1925,8,0,9,1,64,73,109,1,33,8,234,62,638,1,0,23,0,50,998,18,33,5
"ASV21",2,0,5,0,2,0,1,0,1,3,0,2,0,1,0,52,0,0,1,0,0,5,0,0,0
"ASV22",3,0,0,1,0,0,0,6,0,0,0,4,9,11,3,0,0,0,0,0,0,0,0,0,3
"ASV23",412,68,211,26,16,128,188,104,210,44,218,89,119,260,91,697,68,84,75,97,156,1182,234,84,37
"ASV24",165,466,1142,293,369,63,58,1172,289,558,50,508,109,1285,503,1666,126,128,697,669,604,2483,806,264,418
"ASV25",10,11,207,23,13,11,21,26,24,69,46,16,30,66,33,272,15,4,40,2,61,426,52,78,23
"ASV26",8,0,2,29,25,0,0,7,0,3,0,29,0,2,4,0,1,3,42,1,3,0,1,39,19
"ASV27",4,0,0,2,2,1,0,2,0,10,14,3,38,1,3,0,0,7,56,31,3,1,0,19,10
"ASV28",6,2,3,5,2,0,0,0,0,0,0,2,0,0,15,0,0,0,2,0,8,1,4,24,0
"ASV29",4,1,25,4,1,1,2,8,11,4,1,6,0,22,25,80,0,4,1,0,10,81,47,6,8
"ASV30",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV32",1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0
"ASV33",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"ASV34",8,1,2,2,2,0,0,6,3,13,1,12,2,18,3,5,0,3,14,0,0,3,1,1,1
"ASV35",1271,3144,2891,5625,3987,1006,990,1323,1315,876,298,3404,1251,200,129,160,2809,1085,898,540,3374,7258,2727,1311,2915
"ASV36",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV37",2,0,6,4,2,2,1,128,3,45,0,13,1,3,12,104,0,0,11,0,3,48,53,0,0
"ASV38",1,0,75,0,0,0,0,2,1,0,0,0,0,0,4,8,0,0,1,0,0,29,0,0,0
"ASV39",284,5,1835,270,105,94,43,330,202,610,5,186,23,4,20,71,368,15,155,12,655,42,784,137,684
"ASV40",3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,2,5,0
"ASV41",1,0,5,29,6,1,0,57,49,1,1,150,0,1,4,0,15,13,7,0,5,1,17,0,0
"ASV42",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV43",1,0,0,0,0,0,0,34,4,1,0,0,0,2,0,1,0,0,14,0,1,1,6,0,0
"ASV44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV45",1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,8,0,1,9,1
"ASV46",6,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0
"ASV47",2,0,0,4,8,0,1,0,0,0,0,2,0,2,23,1,0,0,14,0,0,1,0,1,1
"ASV48",2,0,0,4,0,0,3,14,2,4,0,7,0,1,5,0,0,1,0,0,0,4,5,0,0
"ASV49",1,0,0,3,6,7,1,12,7,20,0,25,0,0,1,31,0,0,8,1,2,0,71,4,0
"ASV50",5,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0
"ASV51",1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,5,0
"ASV52",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1
"ASV53",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0
"ASV54",2,0,0,2,0,0,0,1,6,0,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0
"ASV55",3,17,32,1,2,19,4,4,0,3,0,0,0,0,0,35,0,23,4,6,53,0,118,7,0
"ASV56",4,1,333,2,0,0,0,4,61,4,1,14,0,245,39,643,22,0,7,0,20,1554,16,9,6
"ASV57",1,0,24,2,1,0,0,1,41,1,0,18,0,6,4,12,0,0,0,0,4,336,2,8,0
"ASV58",8,0,7,0,0,0,0,16,0,0,0,1,0,1,2,11,0,0,0,0,1,2,3,0,0
"ASV59",4,0,0,4,30,0,1,25,45,68,4,15,0,0,82,164,0,0,22,0,1,74,131,0,19
"ASV60",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV61",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV62",4,0,0,1,1,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,0
"ASV63",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV64",3,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,1,12,0,1
"ASV65",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ASV66",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV67",2,0,0,0,0,0,0,3,18,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0
"ASV68",1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV69",2,27,0,11,0,21,181,6,208,128,74,10,1334,0,17,1,0,96,67,28,2355,5,6,0,0
"ASV70",587,1020,1933,26,0,1591,120,63,137,174,759,307,2006,31,8,0,20,1300,133,5,3400,16,8,2,24
"ASV71",69,0,1,110,12,19,3,6,31,2,1,98,0,1,14,24,80,8,212,13,19,20,130,33,81
"ASV72",6,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,15,0,26,12,1
"ASV73",2,0,2,0,38,0,0,61,1,3,0,51,0,0,1,6,0,0,8,0,0,12,3,0,0
"ASV74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV75",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV76",1,0,6,0,0,0,0,9,0,29,0,4,0,0,0,0,0,1,0,0,0,0,2,1,0
"ASV77",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
"ASV78",19,0,1,13,0,0,0,5,3,3,0,8,0,0,4,2,0,0,2,0,0,13,21,0,10
"ASV79",2,0,5,33,0,4,0,14,3,3,2,2,0,1,8,146,139,1,18,2,5,5,40,0,30
"ASV80",20,0,7,2,2,18,12,3,16,19,0,116,0,8,24,5,0,2,10,0,0,77,39,0,4
"ASV81",1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,0,0,2,0,0,4,0,0,1
"ASV82",3,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,20,0
"ASV83",2,1,0,1,0,0,0,15,3,5,0,5,0,0,0,4,0,0,1,0,1,8,5,0,0
"ASV84",3,6,59,6,0,4,0,34,86,4,0,46,4,1130,131,1,0,0,4,0,22,128,17,5,1
"ASV85",3,1,0,3,7,3,1,2,5,1,1,13,0,0,0,2,0,2,7,4,9,6,0,1,0
"ASV86",1,1,0,1,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0
"ASV87",3,0,0,14,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,3,7,10,4,1
"ASV88",34,0,28,1,3,27,5,7,0,4,31,0,2,1,5,40,1809,6,0,2,141,25,52,141,44
"ASV89",15,0,1,0,0,0,0,10,0,0,0,4,0,0,1,1,0,0,0,0,0,10,5,0,0
"ASV90",1,1,0,2,0,0,0,0,0,1,0,1,0,129,0,11,0,0,9,0,16,73,9,0,0
"ASV91",7,0,0,3,0,0,0,3,0,1,0,4,0,3,0,0,0,0,11,0,1,2,1,2,0
"ASV92",1,0,0,11,12,0,0,1,0,0,0,35,0,0,85,0,0,1,14,0,2,2,0,0,0
"ASV93",10,11,11,12,26,28,0,48,8,2,1,39,0,1,8,46,156,5,55,6,61,15,27,13,1
"ASV94",26,27,7,95,110,46,77,79,25,185,4,331,12,2,3,2909,0,30,61,74,38,8,224,330,67
"ASV95",52,21,6,36,21,3,55,60,10,217,30,11,7,1,1120,6,2,29,81,22,18,64,292,11,15
"ASV96",1,0,5,1,1,0,0,2,9,15,0,13,0,0,1,8,0,0,0,0,0,51,2,0,0
"ASV97",6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,0,0,3,0
"ASV98",4,0,0,0,0,0,0,7,2,4,0,0,0,4,57,0,0,0,0,0,2,0,0,0,1
"ASV99",13,1,0,5,0,1,0,5,0,0,0,0,1,8,0,8,0,1,0,0,18,2,2,22,0
"ASV100",1,0,4,2,0,1,0,131,0,5,0,0,0,1,0,43,52,1,0,3,2,1,9,3,0
"ASV101",14,0,3,13,15,0,0,7,49,7,0,70,0,0,2,4,0,2,2,0,1,6,5,1,0
"ASV102",2,198,41,38,1,54,78,86,9,39,8,21,3,0,61,9,444,8,4,0,10,17,40,38,115
"ASV103",2,0,70,2,0,2,0,11,21,11,0,5,0,40,11,129,1,0,3,0,9,402,17,3,0
"ASV104",2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0
"ASV105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV106",6,41,0,1,38,2,0,2,1,15,0,4,0,3,2,0,0,2,3,0,6,7,9,4,20
"ASV107",1,0,1,5,7,0,0,26,21,11,0,7,1,1,25,0,0,1,8,0,1,1,0,5,389
"ASV108",4,0,3,0,0,0,0,1,0,0,0,0,0,5,8,6,0,0,0,0,0,30,0,0,0
"ASV109",3,3,0,0,0,2,1,0,0,0,2,1,0,4,2,0,0,1,1,6,0,1,0,4,0
"ASV110",1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,8,0,0,0,0,0,2,9,0,0
"ASV111",5,0,0,0,0,0,0,3,4,2,0,12,3,1,0,1,0,1,0,0,0,1,1,0,0
"ASV112",2,2,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,1,13,0,7,0
"ASV113",2,2,0,2,3,0,1,6,0,6,1,1,0,0,0,0,0,0,6,0,1,0,2,0,1
"ASV114",2,1,1,0,0,0,0,2,0,14,0,0,0,0,7,0,0,1,0,3,2,0,0,2,0
"ASV115",2,0,45,19,0,0,0,19,3,35,0,5,0,36,2,25,0,0,9,0,0,330,29,0,0
"ASV116",6,1,0,7,1,0,0,37,1,4,0,13,1,10,3,0,0,0,36,1,7,6,9,3,5
"ASV117",1,0,0,2,0,0,0,10,0,1,0,3,0,6,0,5,0,1,4,0,0,0,1,0,0
"ASV118",4,0,0,0,0,0,0,13,0,6,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0
"ASV119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV120",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV121",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV122",1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",20,0,0,1,1,0,0,10,0,1,0,1,0,2,0,0,0,0,0,0,7,1,11,0,0
"ASV124",1,0,29,8,0,0,0,2,19,0,0,0,0,1,7,49,0,0,0,0,5,86,4,2,0
"ASV125",5,10,8,2,0,2,0,18,4,22,0,2,5,7,1,32,0,0,1,0,5,9,0,13,2
"ASV126",6,0,0,0,0,0,0,2,2,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV127",4,0,6,0,0,0,0,0,3,0,0,1,0,0,1,7,0,0,0,0,0,5,1,0,0
"ASV128",1,0,0,1,0,10,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
"ASV130",4,2,143,63,2,8,7,222,37,747,0,164,0,0,2,36,487,0,149,0,63,71,148,5,67
"ASV131",6,0,1,0,12,0,0,22,0,7,0,3,5,2,0,9,4,0,6,6,27,1,88,9,0
"ASV132",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,5,0,0
"ASV133",3,0,81,701,0,4,1,195,35,879,0,108,0,27,17,9,0,0,55,0,3,566,49,0,0
"ASV134",1,0,286,4,0,0,0,6,7,0,0,4,0,72,10,116,0,0,1,0,7,4920,0,1,0
"ASV135",1,0,31,0,0,0,0,1,2,0,0,0,0,1,2,5,0,0,0,0,0,54,1,0,0
"ASV136",2,0,63,2,0,0,0,1,1,5,0,1,0,2,0,16,0,0,0,0,1,4,0,0,1
"ASV137",1,0,15,1,0,0,0,1,0,0,0,0,0,0,2,188,0,0,0,0,0,148,13,0,0
"ASV138",11,0,18,17,0,1,0,114,56,3,0,36,0,1,43,301,0,0,0,0,2,487,230,0,1
"ASV139",3,1,0,0,189,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,0,1,0,108,0
"ASV140",3,0,0,1,1,0,0,3,102,2,0,2,1,0,18,5,0,1,2,0,0,1,7,0,2
"ASV141",20,36,18,13,28,2,21,33,15,20,0,33,9,19,28,64,5,2,28,1,12,38,12,360,7
"ASV142",2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"ASV143",5,0,3,20,1,1,0,9,4,1,0,9,0,6,0,25,1,1,8,0,5,6,2,3,0
"ASV144",5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV145",6,35,2,2,0,8,2,6,2,13,0,15,2,100,1,2,0,1,14,1,83,9,3,0,69
"ASV146",1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV147",1,0,0,0,0,0,0,3,0,3,0,1,0,15,0,8,0,0,2,0,2,11,1,1,0
"ASV148",3,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"ASV149",1,0,0,70,28,0,0,10,0,0,0,2,0,11,96,0,0,2,27,7,1,0,0,375,0
"ASV150",2,0,4,0,0,1,0,0,0,0,0,3,1,17,0,3,0,0,1,0,0,8,0,0,0
"ASV151",1,6,0,0,13,0,0,2,0,0,0,1,0,10,2,0,0,0,4,0,0,1,0,246,0
"ASV152",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV153",8,11,3,101,2,49,41,3,5,7,0,796,3,10,18,4,30,5,33,1,5,81,19,24,70
"ASV154",4,0,1,0,0,0,0,1,0,1,0,1,0,1,0,3,0,4,0,1,8,1,87,21,1
"ASV155",12,0,0,4,4,0,0,0,1,0,0,0,0,1,29,0,0,1,6,0,0,0,7,16,5
"ASV156",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV157",1,0,1,1,1,0,0,0,0,0,0,2,0,8,1,1,0,0,0,0,0,1,0,1,0
"ASV158",3,0,3,2,0,0,0,5,1,0,0,0,0,0,0,3,30,0,4,0,13,6,176,3,3
"ASV159",3,0,2,1,0,1,2,0,1,2,1,1,0,0,1,3,0,0,0,0,2,0,0,1,0
"ASV160",1,0,79,36,1,2,0,18,2,3,0,18,0,0,1,4,14,0,247,0,11,3,27,1,24
"ASV161",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,1,703,0,1
"ASV162",4,0,0,9,1,4,0,8,2,1,0,0,0,0,1,0,0,0,1,0,0,2,35,0,0
"ASV163",3,0,0,1,3,0,0,1,2,0,0,4,0,0,1,1,2,0,16,1,1,0,6,0,0
"ASV164",1,0,0,0,0,0,0,2,2,0,0,1,0,1,2,2,2,3,1,1,0,0,0,8,0
"ASV165",2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,3,0,1,3,2,0,0,0,22,0
"ASV166",3,0,0,5,798,54,300,1,9,5,0,1284,3,3,0,18,61,63,393,3,0,0,3,34,99
"ASV167",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0
"ASV168",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
"ASV169",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV170",1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV171",1,1,0,1,0,0,0,4,0,2,0,1,1,1,1,0,0,0,7,0,5,12,0,0,0
"ASV172",1,0,1,1,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,5,5,1,0
"ASV173",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV174",2,2,7,1,2,0,3,2,1,7,0,16,1,0,0,3,1,3,5,0,267,50,214,0,9
"ASV175",601,0,1,67,1,0,0,4,2,12,0,0,1,5,0,0,0,28,0,0,0,0,0,0,0
"ASV176",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV177",1,0,0,1,0,0,0,2,0,2,1,0,0,0,0,2,0,0,2,0,1,1,1,1,0
"ASV178",21,0,0,0,34,0,1,0,2,2,0,4,0,0,3,0,4,7,0,3,0,0,0,7,0
"ASV179",3,0,0,1,1,0,0,0,1,0,0,0,0,0,3,2,3,0,4,0,0,0,1,0,1
"ASV180",1,2,3,0,0,0,0,0,0,0,0,0,2,5,0,7,0,0,1,0,4,18,5,0,0
"ASV181",2,0,13,1,0,0,1,0,2,0,0,1,1,8,2,10,0,0,0,0,1,29,4,0,0
"ASV182",1445,0,0,375,7,0,0,1366,5,10,0,1210,0,0,0,1,0,0,6,0,0,13,12,0,0
"ASV183",1,0,6,0,11,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0
"ASV184",1,0,15,0,1,1,0,2,1,1,0,1,0,0,2,7,2,0,1,0,73,3,31,1,0
"ASV185",1,0,2,2,4,0,1,3,0,1,0,0,0,0,0,0,0,2,6,0,22,136,196,2,0
"ASV186",1,0,1,9,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ASV187",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4,0,0
"ASV188",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV189",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV190",11,0,4,229,690,0,9,21,1,7,6,90,2,8,501,2,1,2,96,0,10,7,7,47,1
"ASV191",72,220,0,0,3,0,0,1,1554,0,0,0,2,0,0,1,12,0,3,0,2,0,23,1,2
"ASV192",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2
"ASV193",1,0,0,1,0,1,5,0,1,1,0,1,0,1,0,0,0,0,1,0,43,11,21,0,0
"ASV194",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV195",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV196",2,0,5,0,0,0,2,0,5,0,0,0,0,0,5,5,2,0,0,0,0,9,6,2,0
"ASV197",1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,2,0,1,6,1,0,0
"ASV198",2,0,0,0,0,1,0,0,0,1,1,2,2,1,1,0,0,1,0,0,4,0,1,0,2
"ASV199",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV200",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV201",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV202",1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV204",1,0,9,1,0,0,0,0,4,0,0,0,0,2,1,43,0,0,0,0,0,49,2,0,0
"ASV205",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0
"ASV206",2,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,3,1,0,0
"ASV207",1,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,1,0,2,1,0,0,0
"ASV208",1,0,2,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,2,3,2,3,1
"ASV209",1,17,3,0,3,12,1,14,1,60,0,0,1,1,0,18,0,1,0,0,20,21,0,0,4
"ASV210",1,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,1,0,0,0
"ASV211",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,2
"ASV212",92,2,2,127,772,0,6,0,0,0,48,3,1,25,0,0,0,16,75,34,46,0,0,309,12
"ASV213",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV214",2,0,0,0,0,1,0,5,0,0,0,7,0,1,2,14,1,1,3,1,4,2,0,0,0
"ASV215",1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,0,1,0
"ASV216",2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0
"ASV217",1,0,1,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV218",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,0
"ASV219",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
