"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV403","Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae","Holosporaceae"
"ASV404","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Humidesulfovibrio"
"ASV405","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Humitalea"
"ASV406","Bacteria","Pseudomonadota","Gammaproteobacteria","Salinisphaerales","Nevskiaceae","Hydrocarboniphaga"
"ASV407","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae"
"ASV408","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Hydrogenoanaerobacterium"
"ASV409","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV410","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Hydrogenophilaceae"
"ASV411","Archaea","Hydrothermarchaeota","Hydrothermarchaeia","Hydrothermarchaeales","Hydrothermarchaeales","Hydrothermarchaeales"
"ASV412","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobiaceae"
"ASV413","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiales","Hyphomicrobiales"
"ASV414","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiales Incertae Sedis","Hyphomicrobiales Incertae Sedis"
"ASV415","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium"
"ASV416","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas"
"ASV417","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Hypnocyclicus"
"ASV418","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","IMCC26134"
"ASV419","Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"ASV420","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44"
"ASV421","Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales","Iainarchaeales","Iainarchaeales"
"ASV422","Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"ASV423","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella"
"ASV424","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Idiomarinaceae","Idiomarinaceae"
"ASV425","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Ignavibacteriales","Ignavibacteriales"
"ASV426","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium"
"ASV427","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7"
"ASV428","Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacteraceae"
"ASV429","Archaea","Nanoarchaeota","Nanoarchaeia","Pacearchaeales","Incertae Sedis","Incertae Sedis"
"ASV430","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae","Iodobacter"
"ASV431","Bacteria","Bacillota","Bacilli","Izemoplasmatales","Izemoplasmataceae","Izemoplasmataceae"
"ASV432","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45"
"ASV433","Bacteria","Chloroflexota","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66"
"ASV434","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22","JGI 0000069-P22","JGI 0000069-P22"
"ASV435","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03"
"ASV436","Bacteria","Atribacterota","JS1","JS1","JS1","JS1"
"ASV437","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Incertae Sedis","JTB215"
"ASV438","Bacteria","Pseudomonadota","Gammaproteobacteria","JTB23","JTB23","JTB23"
"ASV439","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"ASV440","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"ASV441","Bacteria","Chloroflexota","Dehalococcoidia","JdFR-54","JdFR-54","JdFR-54"
"ASV442","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","KCLunmb-38-53","KCLunmb-38-53"
