"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV792","Bacteria","Schekmanbacteria","Schekmanbacteria","Schekmanbacteria","Schekmanbacteria","Schekmanbacteria"
"ASV793","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria"
"ASV794","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Sedimentibacteraceae","Sedimentibacter"
"ASV795","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"ASV796","Bacteria","Cyanobacteriota","Sericytochromatia","Sericytochromatia","Sericytochromatia","Sericytochromatia"
"ASV797","Bacteria","Chloroflexota","Dehalococcoidia","Sh765B-AG-111","Sh765B-AG-111","Sh765B-AG-111"
"ASV798","Bacteria","Chloroflexota","Dehalococcoidia","Sh765B-TzT-20","Sh765B-TzT-20","Sh765B-TzT-20"
"ASV799","Bacteria","Methylomirabilota","Methylomirabilia","Methylomirabilales","Methylomirabilaceae","Sh765B-TzT-35"
"ASV800","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella"
"ASV801","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Shinella"
"ASV802","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV803","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Silanimonas"
"ASV804","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Simkaniaceae","Simkaniaceae"
"ASV805","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira"
"ASV806","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Nocardiaceae","Smaragdicoccus"
"ASV807","Bacteria","Thermodesulfobacteriota","Syntrophia","Syntrophales","Smithellaceae","Smithella"
"ASV808","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Solimicrobium"
"ASV809","Bacteria","Pseudomonadota","Gammaproteobacteria","Salinisphaerales","Nevskiaceae","Solimonas"
"ASV810","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacteraceae"
"ASV811","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sphaerochaeta"
"ASV812","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingoaurantiacus"
"ASV813","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacteriaceae"
"ASV814","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriales","Sphingobacteriales"
"ASV815","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"ASV816","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae"
"ASV817","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV818","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"ASV819","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"ASV820","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV821","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaetaceae"
"ASV822","Bacteria","Spirochaetota","Spirochaetota","Spirochaetota","Spirochaetota","Spirochaetota"
"ASV823","Bacteria","Bacillota","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Sporomusaceae"
"ASV824","Bacteria","Pseudomonadota","Gammaproteobacteria","Salinisphaerales","Nevskiaceae","Stagnimonas"
"ASV825","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"ASV826","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Stappiaceae"
"ASV827","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"ASV828","Bacteria","Pseudomonadota","Gammaproteobacteria","Salinisphaerales","Nevskiaceae","Stenotrophobium"
"ASV829","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas"
"ASV830","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sterolibacterium"
"ASV831","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV832","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 13","Subgroup 13","Subgroup 13"
"ASV833","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 15","Subgroup 15","Subgroup 15"
"ASV834","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup 17","Subgroup 17","Subgroup 17"
"ASV835","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 2","Subgroup 2","Subgroup 2"
"ASV836","Bacteria","Acidobacteriota","Subgroup 21","Subgroup 21","Subgroup 21","Subgroup 21"
"ASV837","Bacteria","Acidobacteriota","Subgroup 22","Subgroup 22","Subgroup 22","Subgroup 22"
"ASV838","Bacteria","Acidobacteriota","Subgroup 25","Subgroup 25","Subgroup 25","Subgroup 25"
"ASV839","Bacteria","Acidobacteriota","Subgroup 5","Subgroup 5","Subgroup 5","Subgroup 5"
"ASV840","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","Subgroup 7","Subgroup 7"
"ASV841","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Sufflavibacter"
"ASV842","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfuricaulis"
"ASV843","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sulfuricellaceae","Sulfuricella"
"ASV844","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sulfuricellaceae","Sulfuricellaceae"
"ASV845","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfuricurvum"
"ASV846","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sulfuricellaceae","Sulfuriferula"
"ASV847","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfurifustis"
"ASV848","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas"
"ASV849","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfurisoma"
"ASV850","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea"
"ASV851","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"ASV852","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Sutcliffiella"
"ASV853","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081 sediment group"
"ASV854","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485"
"ASV855","Bacteria","Bacillota","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacteraceae"
"ASV856","Bacteria","Bacillota","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium"
"ASV857","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Synergistaceae"
"ASV858","Bacteria","Thermodesulfobacteriota","Syntrophia","Syntrophales","Syntrophales","Syntrophales"
"ASV859","Bacteria","Bacillota","Desulfitobacteriia","Desulfitobacteriales","Syntrophobotulaceae","Syntrophobotulaceae"
"ASV860","Bacteria","Bacillota","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Syntrophomonadaceae"
"ASV861","Bacteria","Bacillota","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Syntrophomonas"
"ASV862","Bacteria","Thermodesulfobacteriota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus"
"ASV863","Bacteria","Thermodesulfobacteriota","Syntrophia","Syntrophales","Syntrophaceae","Syntrophus"
"ASV864","Bacteria","TA06","TA06","TA06","TA06","TA06"
"ASV865","Bacteria","Bacillota","Desulfitobacteriia","Desulfitobacteriales","Incertae Sedis","TC1"
"ASV866","Bacteria","Chloroflexota","TK10","TK10","TK10","TK10"
"ASV867","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a"
"ASV868","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","TRA3-20","TRA3-20"
"ASV869","Bacteria","Bacillota","TSAC18","TSAC18","TSAC18","TSAC18"
"ASV870","Bacteria","Acidobacteriota","Acidobacteriae","TSBb06","TSBb06","TSBb06"
"ASV871","Bacteria","TX1A-33","TX1A-33","TX1A-33","TX1A-33","TX1A-33"
"ASV872","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Tabrizicola"
"ASV873","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Tahibacter"
"ASV874","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Tardiphaga"
"ASV875","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Teretinema"
"ASV876","Bacteria","Acidobacteriota","Acidobacteriae","Terriglobales","Terriglobales","Terriglobales"
"ASV877","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"ASV878","Bacteria","Pseudomonadota","Alphaproteobacteria","Thalassobaculales","Thalassobaculales","Thalassobaculales"
"ASV879","Bacteria","Pseudomonadota","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae","Thalassobaculum"
"ASV880","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
"ASV881","Bacteria","Bacillota","Clostridia","Thermincolales","Thermincolaceae","Thermincola"
"ASV882","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculum"
"ASV883","Bacteria","Thermodesulfobacteriota","Thermodesulfobacteriota","Thermodesulfobacteriota","Thermodesulfobacteriota","Thermodesulfobacteriota"
"ASV884","Bacteria","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionia","Thermodesulfovibrionia","Thermodesulfovibrionia"
"ASV885","Bacteria","Chloroflexota","Anaerolineae","Thermoflexales","Thermoflexaceae","Thermoflexus"
"ASV886","Bacteria","Actinomycetota","Thermoleophilia","Thermoleophilia","Thermoleophilia","Thermoleophilia"
"ASV887","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Thermomonas"
"ASV888","Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmata","Thermoplasmata","Thermoplasmata"
"ASV889","Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmatales","Thermoplasmatales"
"ASV890","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermovirga"
"ASV891","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"ASV892","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Tissierella"
"ASV893","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV894","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Geobacterales","Geobacteraceae","Trichlorobacter"
"ASV895","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","Trichloromonas"
"ASV896","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus"
"ASV897","Bacteria","Deinococcota","Deinococci","Deinococcales","Trueperaceae","Truepera"
"ASV898","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Tundrisphaera"
"ASV899","Bacteria","Myxococcota","Polyangiia","UASB-TL25","UASB-TL25","UASB-TL25"
"ASV900","Bacteria","Dependentiae","Babeliae","Babeliales","Incertae Sedis","UBA12409"
"ASV901","Bacteria","Dependentiae","Babeliae","Babeliales","Incertae Sedis","UBA12411"
"ASV902","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","UBA6140"
"ASV903","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-012"
"ASV904",NA,NA,NA,NA,NA,NA
"ASV905","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium"
"ASV906","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Unknown Family"
"ASV907","Bacteria","Spirochaetota","V2072-189E03","V2072-189E03","V2072-189E03","V2072-189E03"
"ASV908","Bacteria","Cyanobacteriota","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales"
"ASV909","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"ASV910","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","Vermiphilaceae"
"ASV911","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Puniceicoccaceae","Verruc-01"
"ASV912","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae"
"ASV913","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae"
"ASV914","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales","Vicinamibacterales"
"ASV915","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus"
"ASV916","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallales","Victivallales"
"ASV917","Bacteria","Caldisericota","Caldisericia","Caldisericales","WCHB1-02","WCHB1-02"
"ASV918","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV919","Bacteria","Verrucomicrobiota","Kiritimatiellia","WCHB1-41","WCHB1-41","WCHB1-41"
"ASV920","Bacteria","Actinomycetota","WCHB1-81","WCHB1-81","WCHB1-81","WCHB1-81"
"ASV921","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","WD2101 soil group"
"ASV922","Bacteria","WOR-1","WOR-1","WOR-1","WOR-1","WOR-1"
"ASV923","Bacteria","WS1","WS1","WS1","WS1","WS1"
"ASV924","Bacteria","WS2","WS2","WS2","WS2","WS2"
"ASV925","Bacteria","WS4","WS4","WS4","WS4","WS4"
"ASV926","Bacteria","Patescibacteria","WWE3","WWE3","WWE3","WWE3"
"ASV927","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","WWH38"
"ASV928","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","WX65","WX65"
"ASV929","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales"
"ASV930","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacter"
"ASV931","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacteraceae"
"ASV932","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas"
"ASV933","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus"
"ASV934","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus"
"ASV935","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Youngiibacter"
"ASV936","Bacteria","Pseudomonadota","Alphaproteobacteria","Zavarziniales","Zavarziniales","Zavarziniales"
"ASV937","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Zhengella"
"ASV938","Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria"
"ASV939","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group"
"ASV940","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","alphaI cluster"
"ASV941","Bacteria","Myxococcota","bacteriap25","bacteriap25","bacteriap25","bacteriap25"
"ASV942","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","cvE6"
"ASV943","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17","env.OPS 17"
"ASV944","Bacteria","Pseudomonadota","Gammaproteobacteria","eub62A3","eub62A3","eub62A3"
"ASV945","Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade"
"ASV946","Bacteria","Myxococcota","Polyangiia","mle1-27","mle1-27","mle1-27"
"ASV947","Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8","mle1-8"
"ASV948","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","oc32"
"ASV949","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 04"
"ASV950","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","s3t2d-1089"
"ASV951","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","s74e-6049","s74e-6049"
"ASV952","Bacteria","Chloroflexota","Dehalococcoidia","t0.6.f","t0.6.f","t0.6.f"
"ASV953","Bacteria","Chloroflexota","Dehalococcoidia","vadinBA26","vadinBA26","vadinBA26"
"ASV954","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","vadinBE97","vadinBE97"
"ASV955","Bacteria","Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49"
