RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.502,70053,1.43461E-06,0.00495,N20_202502129_220PM100N200AR-CALCURVE,20250129_213833944_iOS
1.501,29000.1,1.43461E-06,0.0416038,N2O_20250129_220PM_40N2060AR-CALCURVE,20250129_214129422_iOS
1.499,16304.9,1.43461E-06,0.0233911,N20_20250129_220PM_25N2075AR-CALCURVE,20250129_214422110_iOS
1.497,5731.98438,1.43461E-06,0.00822316,N20_20250129_220PM_10N2090AR-CALCURVE,20250129_214718437_iOS
1.512,4100.92676,1.43461E-06,0.00588323, N20_20250129_220PM_5N2095AR-CALCURVE,20250129_215002870_iOS
1.512,-,-,-, N20_20250129_220PM_0N20100AR-CALCURVE,20250129_215246132_iOS
1.512,-,-,-, N20_20250129_220PM_C1-20250121-1100AM-CTRL,20250129_215550172_iOS
1.512, -, -,, N20_20250129_220PM_COLNNO1-20250121-1100AM-SMPL,20250129_215854471_iOS
1.512,-,-,,N2O_20250129_220PM_COLNNO2-20250121-1100AM-SMPL,20250129_220143407_iOS
1.512,-,-,,N20_20250129_228PM_COLNNO3-20250121-1100AM-SMPL,20250129_220430572_iOS
1.512,-,-,,N2O_20250129_220PM_CONNNO1-20250121-1100AM-SAMPL,20250129_220723965_iOS
1.512,-,-,,N2O_20250129_220PM_CONNNO2-20250121-1100AM-SAMPL,20250129_221012805_iOS
1.512,--,--,,N20_20250129_220PM_CONNNO3-20250121-1100AM-SAMPL,20250129_221352898_iOS
1.512,-,-,,N2O_20250129_220PM_COLNWO1-20250121-1100AM-SMPL,20250129_221649811_iOS
1.512,-,-,,N20_20250129_220PM_COLNWO2-20250121-1100AM-SMPL,20250129_221940647_iOS
1.484,-,-,,N20_20250129_228PM_COLNWO3-20250121-1100AM-SMPL,20250129_222228720_iOS
1.483,32944.64,1.43462E-06,0.0472626,N2O_20250129_220PM_SALNNO1-20250121-1100AM-SMPL,20250129_222527061_iOS
1.482,60574.1,1.43461E-06,0.0869002,N20_20250129_220PM_SALNNO2-20250121-1100AM-SMPL,20250129_222810973_iOS
1.482,543268,1.43462E-06,0.779378,N20_20250129_220PM_SALNNO3-20250121-1100AM-SMPL,20250129_223058142_iOS
