Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_ARCH-1-GW222_20251021,P01,ARCH,GW222,2024,GOWN
GLC_25GOWN_ARCH-2-GW250_20251021,P02,ARCH,GW250,2024,GOWN
GLC_25GOWN_ARCH-3-GW112_20251021,P03,ARCH,GW112,2024,GOWN
GLC_25GOWN_ARCH-4-GW192_20251021,P04,ARCH,GW192,2024,GOWN
GLC_25GOWN_ARCH-5-GW972_20251021,P05,ARCH,GW972,2024,GOWN
GLC_25GOWN_ARCH-6-GW3026_20251021,P06,ARCH,GW3026,2024,GOWN
GLC_25GOWN_ARCH-7-GW3016_20251021,P07,ARCH,GW3016,2024,GOWN
GLC_25GOWN_ARCH-8-GW193_20251021,P08,ARCH,GW193,2024,GOWN
GLC_25GOWN_ARCH-10-GW150_20251021,P10,ARCH,GW150,2024,GOWN
GLC_25GOWN_ARCH-G1-GW265_20251031,G01,ARCH,GW265,2025,GOWN
GLC_25GOWN_ARCH-G2-GW146_20251031,G02,ARCH,GW146,2025,GOWN
GLC_25GOWN_ARCH-G3-GW112_20251031,G03,ARCH,GW112,2025,GOWN
GLC_25GOWN_ARCH-G4-GW109_20251031,G04,ARCH,GW109,2025,GOWN
GLC_25GOWN_ARCH-G5-GW101_20251031,G05,ARCH,GW101,2025,GOWN
GLC_25GOWN_ARCH-G6-GW332_20251031,G06,ARCH,GW332,2025,GOWN
GLC_25GOWN_ARCH-G7-GW277_20251031,G07,ARCH,GW277,2025,GOWN
GLC_25GOWN_ARCH-G8-GW281_20251031,G08,ARCH,GW281,2025,GOWN
GLC_25GOWN_ARCH-G9-GW275_20251031,G09,ARCH,GW275,2025,GOWN
GLC_25GOWN_ARCH-G10-GW222_20251031,G10,ARCH,GW222,2025,GOWN
GLC_25GOWN_ARCH-G11-GW3050_20251031,G11,ARCH,GW3050,2025,GOWN
GLC_25GOWN_ARCH-G12-GW114_20251031,G12,ARCH,GW114,2025,GOWN
GLC_25GOWN_ARCH-G13-GW126_20251031,G13,ARCH,GW126,2025,GOWN
GLC_25GOWN_ARCH-G14-GW328_20251031,G14,ARCH,GW328,2025,GOWN
GLC_25GOWN_ARCH-G15-GW3089_20251031,G15,ARCH,GW3089,2025,GOWN
GLC_25GOWN_ARCH-G16-GW340_20251031,G16,ARCH,GW340,2025,GOWN
GLC_25GOWN_ARCH-G17-GW628_20251031,G17,ARCH,GW628,2025,GOWN
GLC_25GOWN_ARCH-G18-GW626_20251031,G18,ARCH,GW626,2025,GOWN
GLC_25GOWN_ARCH-G19-GW175_20251031,G19,ARCH,GW175,2025,GOWN
