#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19019-C5-GOWN983.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19019-C5-GOWN983_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#92371822 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 43382443
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.001103677927344553	0.0002606102156260758	7531
k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004	2|40117||	0.001061409410978166	0.00025133406487888067	13738
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.0007561367927764811	0.00017912240974109816	19059
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB14692|o__OFGB14692	2|200940||	0.0007091717745916065	0.00016783260834539693	15456
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348|o__OFGB34348	2|200940||	0.0006669032582252194	0.00015715917557337323	11054
k__Bacteria|p__Planctomycetota|c__CFGB34599|o__OFGB34599	2|203682||	0.00036163064002353443	8.544149347890917e-05	3336
k__Bacteria|p__Thermomicrobiota|c__CFGB2607|o__OFGB2607	2|3027942||	0.0003287551272941222	7.729529331854237e-05	8178
k__Bacteria|p__Firmicutes|c__CFGB42607|o__OFGB42607	2|1239||	0.00023012858910588554	5.466739561389554e-05	3395
k__Archaea|p__Methanobacteriota|c__Methanomicrobia|o__Methanomicrobiales	2157|28890|224756|2191	0.00019725307637647333	4.619620716578504e-05	9215
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	7.984053091428683e-05	1.8991152916610237e-05	4350
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2|1224|28216|32003|206379	19.646303084056736	4.64206484528534	16876214
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae	2|1224|28216|32003|32011	7.48582469601444	1.768764774135558	5157725
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	2|1224|28216|32003|90627	5.377123558524482	1.2705169507544405	3900903
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae	2|976|1853228|1853229|563835	2.3768901773328666	0.561616011960958	1783848
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	2.07826780570616	0.49105727805798466	3517264
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	2|1224|1236|135618|403	1.9350151072386554	0.45720870402645397	2273506
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.1567108258789136	0.2733094353488334	780803
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae	2|57723|1813735|2910145|2211325	0.9569122455168201	0.22610076843930998	1120254
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	2|1224|1236|135619|28256	0.743071124717449	0.17557386572664355	664777
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae	2|976|200643|1970189|1471398	0.7227023963306689	0.17076193913388246	847644
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae	2|1224|28216|32003|2008793	0.5770967504521021	0.13635709709365282	611953
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	2|1224|28211|204457|41297	0.4955466928758859	0.11708875392423275	524866
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	2|1224|28211|356|31993	0.4682694103141107	0.11064335906105763	651143
k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae	2|2818505|32015|29|31	0.451681365891213	0.10672453544263288	972545
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae	2|1224|28211|356|2831100	0.4375871639339321	0.10339408176202594	517615
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2|1224|28211|204458|76892	0.3712255932387043	0.08771367370092753	577661
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae	2|1224|28216|32003|2008790	0.32150842498819604	0.07596675632496236	504349
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Anaerosomatales|f__Anaerosomataceae	2|201174|84998|2997383|2997384	0.3116410746675539	0.07363566295083745	177938
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae	2|40117|203693|189778|189779	0.23720152084452764	0.056045920401329705	239393
k__Bacteria|p__Chloroflexota|c__CFGB91799|o__OFGB91799|f__FGB91799	2|200795|||	0.10648378573056617	0.025160734703296186	104988
k__Bacteria|p__Bacteroidota|c__CFGB4833|o__OFGB4833|f__FGB4833	2|976|||	0.10608458307599475	0.02506599162004657	67573
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292|f__FGB33292	2|1224|||	0.10547403783959138	0.024921724071901963	104397
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae	2|1224|28216|80840|2975441	0.09142680090049539	0.021602046951111918	117110
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae	2|1224|28211|204455|31989	0.062327275633147085	0.014727058426982576	88683
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0.04549970961750651	0.010751188744205399	102570
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae	2|1224|28211|356|41294	0.037139936380598836	0.008775231055967265	175959
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	0.026817025383563398	0.0063359029892220845	75678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.02583076000168103	0.006102918404731759	39332
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae	2|1224|28211|204441|2829815	0.025248393776188587	0.005966029163175235	53295
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790|f__FGB8790	2|200940|||	0.01726903718657839	0.004080086328471468	77049
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255|o__OFGB2255|f__FGB2255	2|200940|||	0.014530976626400202	0.003433660381660212	56053
k__Bacteria|p__Actinomycetota|c__CFGB14186|o__OFGB14186|f__FGB14186	2|201174|||	0.012304834764437146	0.002907836613542698	16734
k__Bacteria|p__Ignavibacteriota|c__CFGB2452|o__OFGB2452|f__FGB2452	2|1134404|||	0.012215601229885882	0.002886164722371444	48731
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae	2|203691|203692|1643688|170	0.011830488080769912	0.002795363463119993	15276
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Sulfurimonadaceae	2|29547|3031852|213849|2771471	0.010952242240712758	0.002588100818579943	37116
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	2|1224|28216|80840|	0.010811347186158133	0.0025541151111859177	26252
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	2|976|768503|768507|563798	0.009050159004225336	0.0021383514843471316	20603
k__Bacteria|p__Firmicutes|c__CFGB89099|o__OFGB89099|f__FGB89099	2|1239|||	0.008040411113250531	0.001900115564372637	5017
