#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00506-E6-GOWN200_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00506-E6-GOWN200_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWE00506-E6-GOWN200.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWE00506-E6-GOWN200_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#111642474 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 51353602
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.07870303288155367	0.022614242470843246	530164
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.0575346309341013	0.016531120483904635	80692
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292	2|1224||	0.05680785833355861	0.016321989660109688	64001
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	2|57723|1813735|2910145	0.05486673151438762	0.01576438218696799	81805
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	0.03993569441716241	0.011474650881592795	478196
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.03233678089756413	0.009290752983565333	77712
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348|o__OFGB34348	2|200940||	0.02457227362088017	0.007060645602028851	114272
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.014811441605996657	0.004256370220771614	121201
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.01460444940963956	0.004196895577712402	46213
k__Bacteria|p__Thermomicrobiota|c__CFGB2607|o__OFGB2607	2|3027942||	0.012088344267254416	0.003472883170916921	20734
k__Bacteria|p__Bacteroidota|c__CFGB90425|o__OFGB90425	2|976||	0.011789355539183054	0.003387768694024902	13403
k__Bacteria|p__Bacteroidota|c__CFGB4833|o__OFGB4833	2|976||	0.011476567331354553	0.0032981785926332083	18714
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.011048783458883221	0.003174521875718499	72018
k__Bacteria|p__Candidatus_Zixiibacteriota|c__CFGB72753|o__OFGB72753	2|1379697||	0.011002785193026087	0.0031614604675004043	12851
k__Bacteria|p__Actinomycetota|c__CFGB11714|o__OFGB11714	2|201174||	0.010993585539854663	0.0031582381218372355	13127
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.009342247795583607	0.002684933011737509	31634
k__Archaea|p__Methanobacteriota|c__Methanomicrobia|o__Methanomicrobiales	2157|28890|224756|2191	0.007865703461569654	0.002259577928404145	26025
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB12416|o__OFGB12416	2|200940||	0.007746107970341109	0.002225073231495806	9967
k__Bacteria|p__Firmicutes|c__CFGB89099|o__OFGB89099	2|1239||	0.007723108837412542	0.002218537492786118	5987
k__Bacteria|p__Firmicutes|c__CFGB8996|o__OFGB8996	2|1239||	0.0061821669311986046	0.0017764749594884762	6136
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.005561190342127317	0.001598289840024594	15089
k__Bacteria|p__Candidatus_Roizmanbacteria|c__CFGB3888|o__OFGB3888	2|1752723||	0.0046320253718132405	0.0013306878396000135	5142
k__Bacteria|p__Candidatus_Omnitrophota|c__CFGB25749|o__OFGB25749	2|67812||	0.003988049649813386	0.001146078855937621	6797
k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.003610863869784899	0.001037285349644602	13991
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.00341307132659923	0.0009806521495506887	8211
k__Bacteria|p__Firmicutes|c__CFGB8920|o__OFGB8920	2|1239||	0.002953088668027905	0.0008491426256406432	7264
k__Bacteria|p__Firmicutes|c__CFGB40289|o__OFGB40289	2|1239||	0.002023923697713829	0.000580876518438691	10605
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Immundisolibacterales	2|1224|1236|1934945	0.0019227275128281373	0.0005527721882571117	7780
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.0018813290735567182	0.0005399134863091611	24951
k__Bacteria|p__Pseudomonadota|c__CFGB36348|o__OFGB36348	2|1224||	0.0018583299406281521	0.0005336298578354291	10994
k__Bacteria|p__Bacteroidota|c__CFGB24197|o__OFGB24197	2|976||	0.0015593412125567909	0.0004483766022137114	12928
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.0015179427732853717	0.00043556758947728804	8690
k__Bacteria|p__Chloroflexota|c__CFGB31944|o__OFGB31944	2|200795||	0.0012143542186282973	0.00034886210648244875	6676
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.0011039583805711793	0.0003169073651667344	16476
k__Bacteria|p__Pseudomonadota|c__CFGB32956|o__OFGB32956	2|1224||	0.0008141693056712448	0.00023330075972325054	5052
k__Bacteria|p__Elusimicrobiota|c__CFGB3937|o__OFGB3937	2|74152||	0.0008049696524998184	0.0002310495623828529	2613
k__Bacteria|p__Ignavibacteriota|c__CFGB2452|o__OFGB2452	2|1134404||	0.0006485755485855679	0.0001866159922784826	7259
k__Bacteria|p__Kiritimatiellota|c__CFGB56764|o__OFGB56764	2|134625||	0.0005887778029712958	0.00016926870957347084	5976
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB36043|o__OFGB36043	2|200940||	0.0004967812712570308	0.00014327662488385485	15081
k__Bacteria|p__Verrucomicrobiota|c__Opitutia|o__Opitutales	2|74201|414999|415000	0.00043238369905704527	0.0001246237137094299	7376
k__Bacteria|p__Actinomycetota|c__CFGB34497|o__OFGB34497	2|201174||	0.0002989887280713611	8.62971902833111e-05	3769
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.00025759028879994184	7.417683430085236e-05	7231
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB5129|o__OFGB5129	2|200940||	0.00022999132928566238	6.577821117948492e-05	8196
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB35538|o__OFGB35538	2|200940||	0.00021619184952852263	6.16566851669791e-05	28289
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	0.00013799479757139742	4.013594485751731e-05	6900
k__Bacteria|p__Bacteroidota|c__CFGB41857|o__OFGB41857	2|976||	0.00013799479757139742	3.993071954425832e-05	3609
k__Bacteria|p__Spirochaetota|c__CFGB2903|o__OFGB2903	2|203691||	0.00013799479757139742	4.0054914364466154e-05	4845
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Miltoncostaeales	2|201174|1497346|2843198	5.059809244284572e-05	1.5048498162845499e-05	5432
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	2|1224|28216|32003|90627	9.428880929498929	2.709201817546279	8390547
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2|1224|28216|32003|206379	8.974206470807516	2.5785598108149355	9418262
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae	2|1224|28216|32003|32011	5.200605336246669	1.494290008801104	4042063
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	4.616569954485244	1.3264798147725012	3644609
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790|f__FGB8790	2|200940|||	3.990998138654828	1.1467344021813253	5161775
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae	2|1224|28216|32003|2008790	3.109386175583855	0.8934207033350399	4141784
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2|1224|28211|204458|76892	2.0873599061574004	0.5997610426945849	2585850
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	1.9443880962202609	0.5586810716055599	3271320
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	2|1224|1236|135618|403	1.2945797941097221	0.37197143601399096	2284882
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Sulfurimonadaceae	2|29547|3031852|213849|2771471	0.765047757562413	0.21982178717774453	845833
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae	2|40117|203693|189778|189779	0.7393071279887617	0.21242470823055182	899646
