sample	coverage	taxonomy	relabund_pct
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.4	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__JAHIHE01	1.88413
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	2.74	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973	12.9063
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.49	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Portnoybacterales	2.30805
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.68	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Moranbacterales	3.20301
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.56	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__2-02-FULL-40-12	2.63778
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.55	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__PFEM01	2.59067
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.82	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7	3.86246
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.33	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400	6.26472
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA12405	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.13	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA10105	0.612341
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1406	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	2.73	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__UBA2591	12.8592
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.23	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__BM507	5.79369
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.28	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__Magasanikbacterales	1.31889
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.63	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__SG8-24	2.9675
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.33	Root; d__Bacteria; p__Patescibacteria; c__UBA1384; o__UBA12157	1.5544
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Patescibacteria; c__UBA1384; o__XYA2-FULL-43-10	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.44	Root; d__Bacteria; p__Patescibacteria; c__Dojkabacteria; o__SC72	2.07254
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.63	Root; d__Bacteria; p__Patescibacteria; c__Kazan-3B-28; o__Kazan-3B-28	2.9675
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.4	Root; d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__UBA1369	1.88413
