NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN Location,SampleID
ERU_16GOWN_ARCH-BE007-GW969_20181025_S119_Av6,ERU_GW969_BE007_S119_Av6_20181025,S119_Av6,20181025,ARCH,16GOWN,BE007,ERU,GW969,Crossfield,
ERU_16GOWN_BACT-BE008-GW111_20180709_S100,ERU_GW111_BE008_S100_20180709,S100,20180709,BACT,16GOWN,BE008,ERU,GW111,Orton,
ERU_16GOWN_ARCH-BE008-GW111_20181025_S100_Av6,ERU_GW111_BE008_S100_Av6_20181025,S100_Av6,20181025,ARCH,16GOWN,BE008,ERU,GW111,Orton,
ERU_16GOWN_BACT-BE009-GW398_20180709_S13,ERU_GW398_BE009_S13_20180709,S13,20180709,BACT,16GOWN,BE009,ERU,GW398,Pine_Lake,
ERU_16GOWN_BACT-BE009-GW398_20180709_S14,ERU_GW398_BE009_S14_20180709,S14,20180709,BACT,16GOWN,BE009,ERU,GW398,Pine_Lake,
ERU_16GOWN_BACT-BE009-GW398_20180709_S157,ERU_GW398_BE009_S157_20180709,S157,20180709,BACT,16GOWN,BE009,ERU,GW398,Pine_Lake,
ERU_16GOWN_ARCH-BE009-GW398_20181025_S13_Av6,ERU_GW398_BE009_S13_Av6_20181025,S13_Av6,20181025,ARCH,16GOWN,BE009,ERU,GW398,Pine_Lake,
ERU_16GOWN_ARCH-BE009-GW398_20181025_S14_Av6,ERU_GW398_BE009_S14_Av6_20181025,S14_Av6,20181025,ARCH,16GOWN,BE009,ERU,GW398,Pine_Lake,
ERU_16GOWN_ARCH-BE009-GW398_20181025_S157_Av6,ERU_GW398_BE009_S157_Av6_20181025,S157_Av6,20181025,ARCH,16GOWN,BE009,ERU,GW398,Pine_Lake,
ERU_16GOWN_BACT-BE010-GW985_20180709_S1,ERU_GW985_BE010_S1_20180709,S1,20180709,BACT,16GOWN,BE010,ERU,GW985,Cochrane,
