NewName,OldName,OldSeqNumber,SeqDate,GenomeCode,Primer,Year,User,GOWNWell,GOWN Location,Sample ID
ERU_17GOWN_ARCH-BE117-GW3053_20181025_S36_Av6,ERU_GW3053_BE117_S36_Av6_20181025,S36_Av6,20181025,BE117,ARCH,17GOWN,ERU,GW3053,Hays_East,
ERU_17GOWN_BACT-BE118-GW114_20180709_S106,ERU_GW114_BE118_S106_20180709,S106,20180709,BE118,BACT,17GOWN,ERU,GW114,Ross_Creek,
ERU_17GOWN_ARCH-BE118-GW114_20181025_S106_Av6,ERU_GW114_BE118_S106_Av6_20181025,S106_Av6,20181025,BE118,ARCH,17GOWN,ERU,GW114,Ross_Creek,
ERU_17GOWN_BACT-BE119-GW3050_20180709_S10,ERU_GW3050_BE119_S10_20180709,S10,20180709,BE119,BACT,17GOWN,ERU,GW3050,Medicine_Hat,
ERU_17GOWN_ARCH-BE119-GW3050_20181025_S10_Av6,ERU_GW3050_BE119_S10_Av6_20181025,S10_Av6,20181025,BE119,ARCH,17GOWN,ERU,GW3050,Medicine_Hat,
ERU_17GOWN_BACT-BE120-GW218_20180709_S145,ERU_GW218_BE120_S145_20180709,S145,20180709,BE120,BACT,17GOWN,ERU,GW218,Cluny_North,
ERU_17GOWN_ARCH-BE120-GW218_20181025_S145_Av6,ERU_GW218_BE120_S145_Av6_20181025,S145_Av6,20181025,BE120,ARCH,17GOWN,ERU,GW218,Cluny_North,
ERU_17GOWN_BACT-BE121-GW986_20180709_S147,ERU_GW986_BE121_S147_20180709,S147,20180709,BE121,BACT,17GOWN,ERU,GW986,Big_Hill_Spring_56_Cochrane_deep_replicate,
ERU_17GOWN_ARCH-BE121-GW986_20181025_S147_Av6,ERU_GW986_BE121_S147_Av6_20181025,S147_Av6,20181025,BE121,ARCH,17GOWN,ERU,GW986,Big_Hill_Spring_56_Cochrane_deep_replicate,
ERU_17GOWN_BACT-BE122-GW986_20180709_S142,ERU_GW986_BE122_S142_20180709,S142,20180709,BE122,BACT,17GOWN,ERU,GW986,Cochrane_D,
