NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN_Location,Sampling ID
MDI_19GOWN_BACT-E13-GW1127_20200316_S128,MDI-bact-GOWN-E13-20200316_S128_L001_R1_001.fastq.gz,S128,20200316,BACT,19GOWN,E13,MDI,GW1127,1127 Conklin 76-07-6,19GWE00523
MDI_19GOWN_BACT-E14-GW1153_20200316_S129,MDI-bact-GOWN-E14-20200316_S129_L001_R1_001.fastq.gz,S129,20200316,BACT,19GOWN,E14,MDI,GW1153,1153 Wiau Lake 74-9-15,19GWE00525
MDI_19GOWN_BACT-E15-GW1155_20200316_S130,MDI-bact-GOWN-E15-20200316_S130_L001_R1_001.fastq.gz,S130,20200316,BACT,19GOWN,E15,MDI,GW1155,1155 Winefred Lake 75-5-79,19GWE00527
MDI_19GOWN_BACT-E16-GW1156_20200316_S131,MDI-bact-GOWN-E16-20200316_S131_L001_R1_001.fastq.gz,S131,20200316,BACT,19GOWN,E16,MDI,GW1156,1156 Winefred Lake 75-5-158,19GWE00528
MDI_19GOWN_BACT-E17-GWFotchip_20200316_S132,MDI-bact-GOWN-E17-20200316_S132_L001_R1_001.fastq.gz,S132,20200316,BACT,19GOWN,E17,MDI,GWFotchip,Fotchip 1968E,19GWE00530
MDI_19GOWN_BACT-E18-GWJackfish_20200316_S133,MDI-bact-GOWN-E18-20200316_S133_L001_R1_001.fastq.gz,S133,20200316,BACT,19GOWN,E18,MDI,GWJackfish,Jackfish 1975E,19GWE00531
MDI_19GOWN_BACT-E19-GW1117_20200316_S134,MDI-bact-GOWN-E19-20200316_S134_L001_R1_001.fastq.gz,S134,20200316,BACT,19GOWN,E19,MDI,GW1117,1117 Fort MacKay AGS-02-20,19GWE00534
MDI_19GOWN_BACT-E2-GW991_20200316_S117,MDI-bact-GOWN-E2-20200316_S117_L001_R1_001.fastq.gz,S117,20200316,BACT,19GOWN,E2,MDI,GW991,991 Cynthia Deep_0991,19GWE00050
MDI_19GOWN_BACT-E20-GW61_20200316_S135,MDI-bact-GOWN-E20-20200316_S135_L001_R1_001.fastq.gz,S135,20200316,BACT,19GOWN,E20,MDI,GW61,61 Fort McMurray 6-220,19GWE00536
MDI_19GOWN_BACT-E21-GW62_20200316_S136,MDI-bact-GOWN-E21-20200316_S136_L001_R1_001.fastq.gz,S136,20200316,BACT,19GOWN,E21,MDI,GW62,62 Fort McMurray 6-310,19GWE00537
MDI_19GOWN_BACT-E22-GW190_20200316_S137,MDI-bact-GOWN-E22-20200316_S137_L001_R1_001.fastq.gz,S137,20200316,BACT,19GOWN,E22,MDI,GW190,190 Rich Lake 2094E South,19GWE00542
MDI_19GOWN_BACT-E23-GW186_20200316_S138,MDI-bact-GOWN-E23-20200316_S138_L001_R1_001.fastq.gz,S138,20200316,BACT,19GOWN,E23,MDI,GW186,186 Lessard 2091E,19GWE00545
MDI_19GOWN_BACT-E24-GW946_20200316_S139,MDI-bact-GOWN-E24-20200316_S139_L001_R1_001.fastq.gz,S139,20200316,BACT,19GOWN,E24,MDI,GW946,946 Cold Lake 07-05,19GWE00548
MDI_19GOWN_BACT-E3-GW953_20200316_S118,MDI-bact-GOWN-E3-20200316_S118_L001_R1_001.fastq.gz,S118,20200316,BACT,19GOWN,E3,MDI,GW953,953 Violet Grove 07-2,19GWE00053
MDI_19GOWN_BACT-E4-GW992_20200316_S119,MDI-bact-GOWN-E4-20200316_S119_L001_R1_001.fastq.gz,S119,20200316,BACT,19GOWN,E4,MDI,GW992,992 Cynthia Shall_0992,19GWE00078
MDI_19GOWN_BACT-E5-GW187_20200316_S120,MDI-bact-GOWN-E5-20200316_S120_L001_R1_001.fastq.gz,S120,20200316,BACT,19GOWN,E5,MDI,GW187,187 Iron River 2079E,19GWE00504
MDI_19GOWN_BACT-E6-GW200_20200316_S121,MDI-bact-GOWN-E6-20200316_S121_L001_R1_001.fastq.gz,S121,20200316,BACT,19GOWN,E6,MDI,GW200,200 Wolf Lake Grazing,19GWE00506
MDI_19GOWN_BACT-E7-GW59_20200316_S122,MDI-bact-GOWN-E7-20200316_S122_L001_R1_001.fastq.gz,S122,20200316,BACT,19GOWN,E7,MDI,GW59,59 Ft McKearl Lake 7-933,19GWE00513
MDI_19GOWN_BACT-E8-GW1133_20200316_S123,MDI-bact-GOWN-E8-20200316_S123_L001_R1_001.fastq.gz,S123,20200316,BACT,19GOWN,E8,MDI,GW1133,1133 Mariana Lakes,19GWE00514
MDI_19GOWN_BACT-E9-GW33_20200316_S124,MDI-bact-GOWN-E9-20200316_S124_L001_R1_001.fastq.gz,S124,20200316,BACT,19GOWN,E9,MDI,GW33,33 Fort McMurray (NOTE: Bulged bottom),19GWE00515
