NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_25GOWN_BACT-G36-GW3021_20251031_S198_R1_001.fastq.gz,GLC_25GOWN_BACT-G36-GW3021_20251031_S198_R1_001.fastq.gz,S198,20251031,BACT,25GOWN,G36,GLC,GW3021,,
GLC_25GOWN_ARCH-G11-GW3050_20251031_S125_R1_001.fastq.gz,GLC_25GOWN_ARCH-G11-GW3050_20251031_S125_R1_001.fastq.gz,S125,20251031,ARCH,25GOWN,G11,GLC,GW3050,,
GLC_25GOWN_BACT-G11-GW3050_20251031_S173_R1_001.fastq.gz,GLC_25GOWN_BACT-G11-GW3050_20251031_S173_R1_001.fastq.gz,S173,20251031,BACT,25GOWN,G11,GLC,GW3050,,
GLC_25GOWN_ARCH-G15-GW3089_20251031_S129_R1_001.fastq.gz,GLC_25GOWN_ARCH-G15-GW3089_20251031_S129_R1_001.fastq.gz,S129,20251031,ARCH,25GOWN,G15,GLC,GW3089,,
GLC_25GOWN_BACT-G15-GW3089_20251031_S177_R1_001.fastq.gz,GLC_25GOWN_BACT-G15-GW3089_20251031_S177_R1_001.fastq.gz,S177,20251031,BACT,25GOWN,G15,GLC,GW3089,,
GLC_25GOWN_ARCH-G20-GW3103_20251031_S134_R1_001.fastq.gz,GLC_25GOWN_ARCH-G20-GW3103_20251031_S134_R1_001.fastq.gz,S134,20251031,ARCH,25GOWN,G20,GLC,GW3103,,
GLC_25GOWN_BACT-G20-GW3103_20251031_S182_R1_001.fastq.gz,GLC_25GOWN_BACT-G20-GW3103_20251031_S182_R1_001.fastq.gz,S182,20251031,BACT,25GOWN,G20,GLC,GW3103,,
GLC_25GOWN_ARCH-G14-GW328_20251031_S128_R1_001.fastq.gz,GLC_25GOWN_ARCH-G14-GW328_20251031_S128_R1_001.fastq.gz,S128,20251031,ARCH,25GOWN,G14,GLC,GW328,,
GLC_25GOWN_BACT-G14-GW328_20251031_S176_R1_001.fastq.gz,GLC_25GOWN_BACT-G14-GW328_20251031_S176_R1_001.fastq.gz,S176,20251031,BACT,25GOWN,G14,GLC,GW328,,
GLC_25GOWN_ARCH-G6-GW332_20251031_S120_R1_001.fastq.gz,GLC_25GOWN_ARCH-G6-GW332_20251031_S120_R1_001.fastq.gz,S120,20251031,ARCH,25GOWN,G6,GLC,GW332,,
GLC_25GOWN_BACT-G6-GW332_20251031_S168_R1_001.fastq.gz,GLC_25GOWN_BACT-G6-GW332_20251031_S168_R1_001.fastq.gz,S168,20251031,BACT,25GOWN,G6,GLC,GW332,,
GLC_25GOWN_ARCH-G31-GW339_20251031_S145_R1_001.fastq.gz,GLC_25GOWN_ARCH-G31-GW339_20251031_S145_R1_001.fastq.gz,S145,20251031,ARCH,25GOWN,G31,GLC,GW339,,
GLC_25GOWN_BACT-G31-GW339_20251031_S193_R1_001.fastq.gz,GLC_25GOWN_BACT-G31-GW339_20251031_S193_R1_001.fastq.gz,S193,20251031,BACT,25GOWN,G31,GLC,GW339,,
GLC_25GOWN_ARCH-G16-GW340_20251031_S130_R1_001.fastq.gz,GLC_25GOWN_ARCH-G16-GW340_20251031_S130_R1_001.fastq.gz,S130,20251031,ARCH,25GOWN,G16,GLC,GW340,,
GLC_25GOWN_BACT-G16-GW340_20251031_S178_R1_001.fastq.gz,GLC_25GOWN_BACT-G16-GW340_20251031_S178_R1_001.fastq.gz,S178,20251031,BACT,25GOWN,G16,GLC,GW340,,
GLC_25GOWN_ARCH-G25-GW364_20251031_S139_R1_001.fastq.gz,GLC_25GOWN_ARCH-G25-GW364_20251031_S139_R1_001.fastq.gz,S139,20251031,ARCH,25GOWN,G25,GLC,GW364,,
GLC_25GOWN_BACT-G25-GW364_20251031_S187_R1_001.fastq.gz,GLC_25GOWN_BACT-G25-GW364_20251031_S187_R1_001.fastq.gz,S187,20251031,BACT,25GOWN,G25,GLC,GW364,,
GLC_25GOWN_ARCH-G24-GW373_20251031_S138_R1_001.fastq.gz,GLC_25GOWN_ARCH-G24-GW373_20251031_S138_R1_001.fastq.gz,S138,20251031,ARCH,25GOWN,G24,GLC,GW373,,
GLC_25GOWN_BACT-G24-GW373_20251031_S186_R1_001.fastq.gz,GLC_25GOWN_BACT-G24-GW373_20251031_S186_R1_001.fastq.gz,S186,20251031,BACT,25GOWN,G24,GLC,GW373,,
GLC_25GOWN_ARCH-G23-GW374_20251031_S137_R1_001.fastq.gz,GLC_25GOWN_ARCH-G23-GW374_20251031_S137_R1_001.fastq.gz,S137,20251031,ARCH,25GOWN,G23,GLC,GW374,,
GLC_25GOWN_BACT-G23-GW374_20251031_S185_R1_001.fastq.gz,GLC_25GOWN_BACT-G23-GW374_20251031_S185_R1_001.fastq.gz,S185,20251031,BACT,25GOWN,G23,GLC,GW374,,
GLC_25GOWN_ARCH-G32-GW376_20251031_S146_R1_001.fastq.gz,GLC_25GOWN_ARCH-G32-GW376_20251031_S146_R1_001.fastq.gz,S146,20251031,ARCH,25GOWN,G32,GLC,GW376,,
GLC_25GOWN_BACT-G32-GW376_20251031_S194_R1_001.fastq.gz,GLC_25GOWN_BACT-G32-GW376_20251031_S194_R1_001.fastq.gz,S194,20251031,BACT,25GOWN,G32,GLC,GW376,,
GLC_25GOWN_ARCH-G37-GW4016_20251031_S151_R1_001.fastq.gz,GLC_25GOWN_ARCH-G37-GW4016_20251031_S151_R1_001.fastq.gz,S151,20251031,ARCH,25GOWN,G37,GLC,GW4016,,
GLC_25GOWN_BACT-G37-GW4016_20251031_S199_R1_001.fastq.gz,GLC_25GOWN_BACT-G37-GW4016_20251031_S199_R1_001.fastq.gz,S199,20251031,BACT,25GOWN,G37,GLC,GW4016,,
GLC_25GOWN_ARCH-G22-GW429_20251031_S136_R1_001.fastq.gz,GLC_25GOWN_ARCH-G22-GW429_20251031_S136_R1_001.fastq.gz,S136,20251031,ARCH,25GOWN,G22,GLC,GW429,,
GLC_25GOWN_BACT-G22-GW429_20251031_S184_R1_001.fastq.gz,GLC_25GOWN_BACT-G22-GW429_20251031_S184_R1_001.fastq.gz,S184,20251031,BACT,25GOWN,G22,GLC,GW429,,
GLC_25GOWN_ARCH-G26-GW449_20251031_S140_R1_001.fastq.gz,GLC_25GOWN_ARCH-G26-GW449_20251031_S140_R1_001.fastq.gz,S140,20251031,ARCH,25GOWN,G26,GLC,GW449,,
GLC_25GOWN_BACT-G26-GW449_20251031_S188_R1_001.fastq.gz,GLC_25GOWN_BACT-G26-GW449_20251031_S188_R1_001.fastq.gz,S188,20251031,BACT,25GOWN,G26,GLC,GW449,,
GLC_25GOWN_ARCH-G40-GW456_20251031_S154_R1_001.fastq.gz,GLC_25GOWN_ARCH-G40-GW456_20251031_S154_R1_001.fastq.gz,S154,20251031,ARCH,25GOWN,G40,GLC,GW456,,
GLC_25GOWN_BACT-G40-GW456_20251031_S202_R1_001.fastq.gz,GLC_25GOWN_BACT-G40-GW456_20251031_S202_R1_001.fastq.gz,S202,20251031,BACT,25GOWN,G40,GLC,GW456,,
