"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C3","C4","C5","C6","C7","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E3","E4","E5","E6","E7","E8","E9"
"32","bOTU_5469","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","f__UBA12049","f__UBA12049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","bOTU_5470","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Woykebacterales","f__RBG-16-39-9b","g__RBG-13-40-15","s__RBG-13-40-15 sp001816655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","bOTU_5471","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__UBA1400","f__CG1-02-47-37","g__CG1-02-47-37","s__CG1-02-47-37 sp002772455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","bOTU_5472","d__Bacteria","p__Patescibacteria","c__UBA1384","o__JAHJRZ01","f__JAHJRZ01","g__JAHJRZ01","s__JAHJRZ01 sp026397195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"36","bOTU_5473","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__GWA2-44-7","f__UBA8517","g__GCA-030583725","s__GCA-030583725 sp030583725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","bOTU_5474","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__UBA1400","f__MFAQ01","g__2-01-FULL-50-23","s__2-01-FULL-50-23 sp001774555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","bOTU_5475","d__Bacteria","p__Armatimonadota","c__CAIYQO01","o__WVXJ01","f__DTIZ01","g__S016-27","s__S016-27 sp015486155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","bOTU_5476","d__Bacteria","p__Chloroflexota","c__Anaerolineae","c__Anaerolineae","c__Anaerolineae","c__Anaerolineae","c__Anaerolineae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"40","bOTU_5477","d__Bacteria","p__Chloroflexota","c__Anaerolineae","c__Anaerolineae","c__Anaerolineae","c__Anaerolineae","c__Anaerolineae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","bOTU_5478","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","bOTU_5479","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
