"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"60","d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae",0,0,0,0,0,0,0,0,0,0.0031946778922979,0,0.0542311638564731,0,0,0,0,0,0,0,0,"aOTU_60"
"61","d__Bacteria","p__CSP1-3","c__CSP1-3","o__CSP1-3","f__13-1-40CM-64-14",0,0,0,0,0,0,0,0,0,0,0,0.042892034232596,0,0,0,0,0,0,0,0,"aOTU_61"
"62","d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__UBA2999",0,0,0.276494521211627,0.0148718251780511,0.448777548402263,0,0.105166846830713,0,0,0,0,0.0416785572097406,0.95691224551682,0,0.0067016072689397,0,0,0,0.0548667315143876,0,"aOTU_62"
"63","d__Bacteria","p__Nitrospirota","c__Thermodesulfovibrionia","o__UBA6902","f__BMS3Bbin08",0,0,0.0007568763191816,0,0,0,0.262959573104631,0,0.008312347015559,0,0,0.0396369133939675,0,0,0,0,0,0,0,0,"aOTU_63"
"64","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Daviesbacterales","f__UBA10151",0,0,0,0,0,0,0,0,0,0.0021716630616182,0,0.0307472559461221,0,0,0,0,0,0,0,0,"aOTU_64"
"65","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049",0,0,0,0,0,0,0,0,0,0,0,0.017301430129989,0,0,0,0,0,0,0,0,"aOTU_65"
"66","d__Bacteria","p__Omnitrophota","c__Koll11","o__Gygaellales","f__UBA12090",0,0,0,0,0,0,0,0,0,0.0017958186037008,0,0.0198609909431457,0,0,0,0,0,0,0,0,"aOTU_66"
"67","d__Bacteria","p__Nitrospirota","c__Nitrospiria","o__","f__",0,0,0,0,0,0,0,0,0,0,0,0.0148119257222754,0,0,0,0,0,0,0,0,"aOTU_67"
"68","d__Bacteria","p__Nitrospirota","c__9FT-COMBO-42-15","o__HDB-SIOI813","f__HDB-SIOI813",0,0,0,0,0,0,0,0,0,0.0100485605349939,0,0.0116568854628515,0.0015357560946453,0,0,0,0,0,0,0,"aOTU_68"
"69","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA9973",0,0,0,0.0082866084426643,0,0,0,0,0.0092970475213755,0.0025812912910338,0,0.0090122561573709,0,0,0,0,0,0,0,0,"aOTU_69"
