"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"28","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Methyloversatilis","s__Methyloversatilis sp030696805",0.0106353784761221,0,0.0617002931287493,0.0026297519382125,0.0011460259017795,0,0.125153838402788,0,0.0005699280618688,0.721977144545005,0,0.144976727035731,0.57651438422661,0.867134394676332,0,0,0,0,0.0919275343154792,0,"aOTU_28"
"29","d__Bacteria","p__Bacillota_B","c__Desulfotomaculia","o__Ammonifexales","f__Desulforudaceae","g__SURF-60","s__SURF-60 sp019084485",0.0101554705681748,0.0086519586721237,0,0,0,0,0,0.0882074855956389,0.200677661741549,0,0,0,0,0,0,0,0,0,0,0,"aOTU_29"
"30","d__Archaea","p__Thermoplasmatota","c__JASEFT01","o__JASEFT01","f__JAUWIS01","g__JASEEW01","s__",0.0100935469671493,0.0003269892450138,0,0,0,0,0,0.0021911695568672,0,0.002422929862136,0.0104217784216718,0,0,0,0.0008343722957355,0,0,0,0,0,"aOTU_30"
"31","d__Bacteria","p__Nitrospirota","c__Thermodesulfovibrionia","o__Thermodesulfovibrionales","f__UBA1546","g__UBA1546","s__UBA1546 sp001805105",0.0093659446551002,0,0.0103715191685244,0.0399989604558076,0,0,0.0188766031514042,0,0.0015699905100538,0.0026583605197641,0,0,0,0,0,0,0,0,0,0,"aOTU_31"
"32","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Hydrogenophaga","s__Hydrogenophaga sp030653975",0.0076707860770283,0.0743591218255861,0,0,0,0.46955,0.110764510810212,0,0,0,21.9359126817789,0.0495599028221001,0,0,0.441427325949195,0,0.0061957927529665,2.08154747491088,0,0,"aOTU_32"
"33","d__Bacteria","p__Desulfobacterota","c__BSN033","o__BSN033","f__UBA1163","g__RBG-16-49-23","s__RBG-16-49-23 sp018333715",0.0074617939235674,0,0.0027928405664127,0.0007405208067768,0.0072925792368493,0,0.0015480120923469,0.0139364285956977,0.1853234003443,0.0139674780287844,0.002057373733728,0,0.0006669032582252,0,0.0014645896680464,0,0.0292234891514923,0,0.0223505573799806,0,"aOTU_33"
"34","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sihuiensis",0.0062465432534428,0.0010251554708542,0,0,0,0.00535,0.0010646665445255,0,0,0.0171167589781316,0,0,0,0,0.0456863213420302,0,0,0,0,0,"aOTU_34"
"35","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Perlucidibaca","s__",0.0061226960513919,0,0,0,0,0,0,0,0,0,0,0,0,0.0031187230767435,0,0,0,0,0,0.0650218286553259,"aOTU_35"
"36","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Thiobacillaceae","g__Thiobacillus","s__Thiobacillus sp019459055",0.0057511544452392,0.201672826249094,0,0,0,0.00233,0,0.000730389852289,0.310235962324738,0,0,0,0,0,0,0,1.67371247618246,0,0,0,"aOTU_36"
"37","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylotenera","s__Methylotenera sp000744605",0.0055963454426756,0,0,0,0,0,0.0007184866251399,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_37"
