#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00021-E1-GOWN449_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00021-E1-GOWN449_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWE00021-E1-GOWN449.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWE00021-E1-GOWN449_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#103328502 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 32882642
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	2|1224|28211|204457|41297	0.0012442949208728489	0.00013694469086807085	7027
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae	2|1224|28211|356|255475	0.0011010896230741834	0.00012130613130196559	7892
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2|1224|28216|32003|206379	0.0009547019853244365	0.00010517386777794997	6789
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	2|1224|28211|356|31993	0.0008337730671833411	9.172105244633955e-05	9993
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae	2|1224|28216|206389|2008794	0.0006460150100695354	7.127870187472763e-05	9524
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	0.00048371567256438115	5.3166398244715104e-05	7488
k__Bacteria|p__Pseudomonadota|c__CFGB74353|o__OFGB74353|f__FGB74353	2|1224|||	0.0003946101539341004	4.3565019994369245e-05	1261
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae	2|201174|1497346|588673|361606	0.0001973050769670502	2.1573345596049403e-05	98965
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	2|1224|1236|72274|135621|286	17.428851686025798	1.9183592743573288	23839730
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	2|1224|28211|204458|76892|75	9.067008424383042	0.9979878182196308	4512983
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium	2|1224|28211|356|119045|407	1.6619961334919962	0.1829327616821371	967459
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	2|||||	1.1859180768102107	0.1305314839603391	1642877
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__GGB123072	2|1224|28216|32003|32011|	0.5897162339949533	0.06490905032710645	190293
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax	2|1224|28216|80840|80864|34072	0.5090598279347939	0.05603125414916056	417176
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia	2|1224|28216|80840|75682|149698	0.2175511237358304	0.023945438556432122	184984
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB14257	2|976|117743|200644|49546|	0.20048741691813166	0.022067411619345546	96587
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus	2|976|768503|768507|563798|246875	0.17009925272525486	0.018722528038432003	95615
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__GGB15285	2|1224|28216|32003|32011|	0.15073789646287528	0.01659145443095403	47289
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Tardiphaga	2|1224|28211|356|41294|1395974	0.11867263911577854	0.013062074233310345	129965
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium	2|201174|1760|85006|85023|33882	0.08529625770883623	0.00938827369155107	58219
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga	2|1224|28216|80840|80864|47420	0.07505548774625612	0.008261369849675085	43675
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__GGB124699	2|1224|1236|135618|403|	0.0731174427160475	0.008047940076279396	103631
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylicorpusculum	2|1224|1236|135618|403|2713642	0.07068295265347019	0.007780100672760535	42683
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__GGB59409	2|1224|1236|135618|403|	0.06841076192839804	0.0075299346954921555	34348
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas	2|1224|1236|135619|28256|2745	0.030652298408816572	0.0033737988998684986	14966
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB77982	2|1224|28216|80840|80864|	0.025516001727771104	0.0028085158893813083	24954
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium	2|1224|28211|356|41294|374	0.022343208796542894	0.002459249862488161	126603
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB65385	2|1224|28216|80840|80864|	0.013754073268574049	0.0015137285971338781	16547
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Bodocaedibacter	2|1224|28211|1921002|1777752|3163645	0.011631452521202717	0.0012801703779948524	5293
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__GGB132630	2|1224|28211|204455|31989|	0.011259118746926188	0.0012392322566583576	9874
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfomicrobiaceae|g__Desulfomicrobium	2|200940|3031449|213115|213116|898	0.00651743221981482	0.0007173928222719	10590
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Agreia	2|201174|1760|85006|85023|110934	0.005616830013658767	0.0006181454974553915	11719
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB35087	2157|28890|183925|2158|2159|	0.004197506395476439	0.00046214379733658416	8760
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herminiimonas	2|1224|28216|80840|75682|303379	0.004051118757726692	0.0004460042497171348	16139
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__GGB124698	2|1224|1236|135618|403|	0.003245986750103084	0.00035718746082424277	7381
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcoides	2|201174|1760|85007|85025|3259750	0.00225309668536567	0.000248159411794716	26234
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Sulfurimonadaceae|g__GGB34283	2|29547|3031852|213849|2771471|	0.002183085206441878	0.00024042188704852884	3470
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Parvibaculaceae|g__Parvibaculum	2|1224|28211|356|2813035|256616	0.0013715885189161069	0.00015087358959085115	11380
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	2|1224|28211|204457|41297|13687	0.0012442949208728489	0.00013694469086807085	7027
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas	2|1224|28211|356|255475|414371	0.0011010896230741834	0.00012130613130196559	7892
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__GGB38197	2|1224|28216|32003|206379|	0.0009547019853244365	0.00010517386777794997	6789
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae|g__Methylocystis	2|1224|28211|356|31993|133	0.0008337730671833411	9.172105244633955e-05	9993
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__GGB26459	2|1224|28216|206389|2008794|	0.0006460150100695354	7.127870187472763e-05	9524
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium	2|201174|1760|85009|85015|2040	0.00048371567256438115	5.3166398244715104e-05	7488
k__Bacteria|p__Pseudomonadota|c__CFGB74353|o__OFGB74353|f__FGB74353|g__GGB106107	2|1224||||	0.0003946101539341004	4.3565019994369245e-05	1261
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcus	2|201174|1760|85007|85025|1827	0.00022276379657570184	2.441988886162746e-05	23093
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter	2|201174|1497346|588673|361606|361607	0.0001973050769670502	2.1573345596049403e-05	98965
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax	2|1224|28216|80840|80864|12916	5.728211911946619e-05	6.276637298760356e-06	9186
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_yamanorum	2|1224|1236|72274|135621|286|515393	17.42814838889661	1.918281762855986	23828151
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_SGB185167	2|1224|28211|204458|76892|75|	9.067008424383042	0.9979878182196308	4512983
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_Leaf99	2|1224|28211|356|119045|407|1736251	1.6253101185359293	0.1788945415723377	832994
