"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"399","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herminiimonas|s__Herminiimonas_arsenitoxidans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,51299,0,0,0,0,0,4009,12314,0,0,0,0,0,0,"bOTU_399"
"400","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Sulfuritalea|s__Sulfuritalea_SGB88234",NA,NA,NA,NA,NA,NA,0,0,16718,12307,36548,0,0,0,0,0,0,0,11998,0,0,0,0,0,0,0,"bOTU_400"
"401","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Caenimonas|s__Caenimonas_sp_SL110",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,19216,0,0,0,5022,0,0,0,"bOTU_401"
"402","k__Bacteria|p__Planctomycetota|c__CFGB34599|o__OFGB34599|f__FGB34599|g__GGB36411|s__GGB36411_SGB53290",NA,NA,NA,NA,NA,NA,0,0,4341,0,0,0,0,0,0,0,0,0,3336,0,0,0,0,0,0,0,"bOTU_402"
"403","k__Bacteria|p__Thermomicrobiota|c__CFGB2607|o__OFGB2607|f__FGB2607|g__GGB78405|s__GGB78405_SGB174169",NA,NA,NA,NA,NA,NA,0,0,119297,13071,115235,0,10547,9253,11820,12337,0,0,8178,0,8901,0,9940,0,20734,0,"bOTU_403"
"404","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_sp_Root700",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,103911,0,0,0,46549,0,0,0,"bOTU_404"
"405","k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255|o__OFGB2255|f__FGB2255|g__GGB138967|s__GGB138967_SGB167310",NA,NA,NA,NA,NA,NA,0,0,27369,22780,13100,0,383993,0,43928,80521,0,0,10633,0,0,0,560758,0,18795,0,"bOTU_405"
"406","k__Archaea|p__Methanobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__GGB103011|s__GGB103011_SGB147861",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6395,0,0,298275,0,0,9215,52822,0,0,10240,0,26025,657235,"aOTU_406"
"407","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Methylibium|s__Methylibium_petroleiphilum",NA,NA,NA,NA,NA,NA,0,0,30703,0,0,0,0,0,0,0,0,0,19686,0,0,0,0,0,0,0,"bOTU_407"
"408","k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790|f__FGB8790|g__GGB139140|s__GGB139140_SGB167592",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,34001,0,0,0,28781,0,214648,0,"bOTU_408"
