#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19038-C13-GOWN144_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19038-C13-GOWN144_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19038-C13-GOWN144.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19038-C13-GOWN144_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#104133572 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 37616135
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.006057821429096853	0.001323625662774204	9009
k__Bacteria|p__Pseudomonadota|c__CFGB26115|o__OFGB26115	2|1224||	0.004789905316030069	0.0010469391695317168	121172
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB3514|o__OFGB3514	2|95818||	0.0033269251855683967	0.0007271993382675747	3779
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790	2|200940||	0.0030523906425681813	0.0006669255047308131	9231
k__Bacteria|p__Bacteroidota|c__CFGB4868|o__OFGB4868	2|976||	0.0029765324135812804	0.000650413498021667	12968
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Miltoncostaeales	2|201174|1497346|2843198	0.002857326625173292	0.0006247336129609647	8689
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.0021457041913437867	0.0004689930310545739	16931
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB40977|o__OFGB40977	2|200940||	0.00205539677588319	0.0004488290342822117	7716
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292	2|1224||	0.0019361909874752016	0.000422704792356897	6050
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB3566|o__OFGB3566	2|95818||	0.0018458835720146045	0.00040305829945964456	2767
k__Bacteria|p__Bacteroidota|c__CFGB90425|o__OFGB90425	2|976||	0.001589410512106509	0.00034693713380589466	4059
k__Bacteria|p__Nitrospirota|c__CFGB6263|o__OFGB6263	2|40117||	0.0012028947739351533	0.0002629766353693689	4930
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.0011884455874614577	0.0002593829708085476	48158
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4227|o__OFGB4227	2|95818||	0.0010728520956718934	0.00023481127110260483	4319
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB13264|o__OFGB13264	2|200940||	0.000993381570066568	0.0002167373162857025	8154
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.0008272159256190693	0.00018092153900548267	7189
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348|o__OFGB34348	2|200940||	0.0007405208067768962	0.00016190705342233576	9717
