"","Kingdom","Phylum","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"29","d__Bacteria","p__Spirochaetota",0,0,0,0,0,0,0,0,0,0,0,0,0.0118304880807699,0.0031391513938401,0,0,0,0,0.0001379947975713,0,"aOTU_29"
"30","d__Bacteria","p__Bacillota_I",0,0,0,0,0,0,0.0093076676438585,0,0.0001305765101316,0.696293032263503,0,0,0.0172032861611195,1.24142202051976,0,0,0.0006502791492978,0,0.0106761975054404,0,"aOTU_30"
"31","d__Bacteria","p__Krumholzibacteriota",0,0,0.0036125144841291,0,0,0,0,0,0,0.0078473366733147,0,0,0.0059457713022051,0,0,0,0.456278272791441,0,0.24167948863996,0,"aOTU_31"
"32","d__Bacteria","p__Caldisericota",0,0,0,0,0,0,0,0,0,0,0,0,0.0045180347493849,0,0,0,4.74452598200143e-05,0,0,0,"aOTU_32"
"33","d__Bacteria","p__Bacillota",0,0,0,0,0,0,0,0,0,0,0,0,0.0011036779273445,0,0,0,6.41906456388429e-05,0,0,0,"aOTU_33"
"34","d__Bacteria","p__Gemmatimonadota",0,0.0014140075460059,0.0005056859250427,0,0,0,0,0,0,0.001047296916444,0,0,0,0.004521467517375,0,0,0,0,0,0,"aOTU_34"
"35","d__Bacteria","p__Bacillota_H",0,0,0,0,0,0,0,0,0,0,0,0,0,0.003527289418675,0,0,0,0,0,0,"aOTU_35"
"36","d__Bacteria","p__Dependentiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027072718106312,0,0,0.0004713649173258,0,0,"aOTU_36"
"37","d__Bacteria","p__Edwardsbacteria",0,8.83754716253698e-05,0,0,0,0.00489,0,1.47553505512946e-05,0.0053951141597936,0,0,0,0,0,0,0,0,0,0,0,"aOTU_37"
"38","d__Bacteria","p__Desulfobacterota_E",0,0,0.0488730573438405,0.0145033709229718,0,0,0,0,0.0034641180040816,0,0,0,0,0,0,0,0,0,0,0,"aOTU_38"
"39","d__Bacteria","p__Verrucomicrobiota",0,0,0,0.0170861630051449,0,0,0.014330542323246,0,0.0344245766534211,0.0121611019964903,0,0,0,0,0,0,0.0021629456682653,0,0.0010211615020283,0,"aOTU_39"
"40","d__Bacteria","p__Zixibacteria",0,0,0,0,0,0,0,0,0.266899922903389,0,0,0,0,0,0,0,0,0,0.011002785193026,0,"aOTU_40"
"41","d__Bacteria","p__Schekmanbacteria",0,0,0,0,0,0,0,0,0.0001290403158948,0,0,0,0,0,0,0,0,0,0,0,"aOTU_41"
"42","d__Bacteria","p__UBA9089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214145575646452,0,0,0,"aOTU_42"
