"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"48","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae",0,0,0,0,0,0,0,0,0,0,49974,0,664777,7172,11326,14966,57289,0,0,0,"bOTU_48"
"49","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfomicrobiaceae",0,0,0,0,0,32153,0,51178,20341,0,12839,0,0,179551,0,10590,0,46054,66489,10430,"bOTU_49"
"50","k__Bacteria","p__Chloroflexota","c__CFGB91799","o__OFGB91799","f__FGB91799",0,0,3734,0,10164,0,8600,0,45489,106659,12724,0,104988,195204,0,0,26361,20281,199603,0,"bOTU_50"
"51","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Lysobacteraceae",0,694033,11358,0,822789,5367,0,0,0,5278,6148,13834,0,24978,0,0,0,0,0,2832,"bOTU_51"
"52","k__Bacteria","p__Elusimicrobiota","c__CFGB3228","o__OFGB3228","f__FGB3228",0,0,0,0,0,0,0,0,0,0,6981,0,0,0,0,0,0,0,0,0,"bOTU_52"
"53","k__Bacteria","p__Firmicutes","c__CFGB8996","o__OFGB8996","f__FGB8996",0,0,6231,0,13550,0,4027,5725,164601,0,5467,0,0,0,0,0,3665,0,6136,27648,"bOTU_53"
"54","k__Bacteria","p__Bacteroidota","c__CFGB24197","o__OFGB24197","f__FGB24197",0,0,0,0,0,0,0,0,0,0,4398,0,0,323029,0,0,0,0,12928,0,"bOTU_54"
"55","k__Archaea","p__Methanobacteriota","c__Methanomicrobia","o__Methanosarcinales","f__Candidatus_Methanoperedenaceae",0,0,0,0,0,0,0,0,0,8331,3730,0,0,0,0,0,0,0,0,0,"aOTU_55"
"56","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae",0,0,0,0,0,0,0,0,0,0,14045,0,0,0,0,0,0,0,0,0,"bOTU_56"
"57","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB40977","o__OFGB40977","f__FGB40977",0,11975,0,7716,14184,0,14297,1040185,86621,108931,7880,0,0,0,13729,0,0,8524,0,0,"bOTU_57"
"58","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae",0,0,1140632,122252,405775,11768,1375482,62899,0,46225,0,5250917,577661,89853,330476,4512983,967899,11677,2585850,0,"bOTU_58"
"59","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB86100","o__OFGB86100","f__FGB86100",0,0,0,0,0,0,0,0,0,0,0,322526,0,0,0,0,0,0,0,0,"bOTU_59"
"60","k__Archaea","p__Nitrososphaerota","c__CFGB73936","o__OFGB73936","f__FGB73936",0,0,0,0,0,0,0,0,0,0,0,200710,0,0,0,0,0,0,0,0,"aOTU_60"
"61","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB82396","o__OFGB82396","f__FGB82396",0,0,11108,0,0,0,0,0,10832,0,0,108576,0,0,0,0,0,0,0,0,"bOTU_61"
"62","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB93702","o__OFGB93702","f__FGB93702",0,0,0,0,0,0,0,0,0,0,0,23295,0,0,0,0,0,0,0,0,"bOTU_62"
"63","k__Bacteria","p__Candidatus_Methylomirabilota","c__Candidatus_Methylomirabilia","o__Candidatus_Methylomirabilales","f__Candidatus_Methylomirabilaceae",0,0,0,0,0,0,0,0,0,5172,0,35353,0,0,0,0,0,0,0,0,"bOTU_63"
"64","k__Bacteria","p__Firmicutes","c__CFGB33139","o__OFGB33139","f__FGB33139",0,0,0,0,0,0,0,0,0,0,0,33309,0,0,0,0,0,0,0,0,"bOTU_64"
"65","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",0,0,303486,25884,752116,0,216744,0,0,0,0,58064,1120254,0,17380,0,0,0,81805,0,"bOTU_65"
"66","k__Bacteria","p__Nitrospirota","c__CFGB40910","o__OFGB40910","f__FGB40910",0,0,4968,0,0,0,220294,0,7107,0,0,22506,0,0,0,0,0,0,0,0,"bOTU_66"
"67","k__Bacteria","p__Candidatus_Roizmanbacteria","c__CFGB3978","o__OFGB3978","f__FGB3978",0,0,0,0,0,0,0,0,0,0,0,35119,0,0,0,0,0,0,0,0,"bOTU_67"
