"","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"72","k__Bacteria","p__Elusimicrobiota","c__CFGB3228","o__OFGB3228","f__FGB3228","g__GGB15354",0,0,0,0,0,0,0,0,0,0,6981,0,0,0,0,0,0,0,0,0,"bOTU_72"
"73","k__Bacteria","p__Chloroflexota","c__CFGB91799","o__OFGB91799","f__FGB91799","g__GGB127458",0,0,3734,0,10164,0,8600,0,11598,19522,4319,0,0,57639,0,0,0,0,30987,0,"bOTU_73"
"74","k__Bacteria","p__Firmicutes","c__CFGB8996","o__OFGB8996","f__FGB8996","g__GGB4173",0,0,6231,0,13550,0,0,5725,84389,0,5467,0,0,0,0,0,0,0,0,27648,"bOTU_74"
"75","k__Bacteria","p__Bacteroidota","c__CFGB24197","o__OFGB24197","f__FGB24197","g__GGB24197",0,0,0,0,0,0,0,0,0,0,4398,0,0,323029,0,0,0,0,12928,0,"bOTU_75"
"76","k__Bacteria","p__Chloroflexota","c__CFGB91799","o__OFGB91799","f__FGB91799","g__GGB127455",0,0,0,0,0,0,0,0,33891,87137,8405,0,104988,137565,0,0,26361,20281,168616,0,"bOTU_76"
"77","k__Archaea","p__Methanobacteriota","c__Methanomicrobia","o__Methanosarcinales","f__Candidatus_Methanoperedenaceae","g__GGB16980",0,0,0,0,0,0,0,0,0,0,3730,0,0,0,0,0,0,0,0,0,"aOTU_77"
"78","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__GGB38694",0,0,0,0,0,0,0,0,0,0,14045,0,0,0,0,0,0,0,0,0,"bOTU_78"
"79","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB40977","o__OFGB40977","f__FGB40977","g__GGB43649",0,11975,0,7716,14184,0,14297,1040185,86621,108931,7880,0,0,0,13729,0,0,8524,0,0,"bOTU_79"
"80","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Phenylobacterium",0,0,874680,22262,36588,0,1255227,0,0,0,0,5044737,482088,0,0,0,798711,0,2543721,0,"bOTU_80"
"81","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB86100","o__OFGB86100","f__FGB86100","g__GGB106333",0,0,0,0,0,0,0,0,0,0,0,322526,0,0,0,0,0,0,0,0,"bOTU_81"
"82","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__GGB134289",0,0,560318,0,1066793,0,452841,0,0,0,0,857254,0,0,0,0,0,0,0,0,"bOTU_82"
"83","k__Archaea","p__Nitrososphaerota","c__CFGB73936","o__OFGB73936","f__FGB73936","g__GGB76009",0,0,0,0,0,0,0,0,0,0,0,200710,0,0,0,0,0,0,0,0,"aOTU_83"
"84","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingopyxis",0,0,55442,0,95569,0,59120,9795,13241,15004,0,255809,21615,17676,0,0,13522,15286,15089,0,"bOTU_84"
"85","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas",0,0,213662,0,70219,11768,100843,0,0,46225,0,194963,30667,89853,244713,0,43917,0,42129,0,"bOTU_85"
"86","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB82396","o__OFGB82396","f__FGB82396","g__GGB33193",0,0,11108,0,0,0,0,0,10832,0,0,108576,0,0,0,0,0,0,0,0,"bOTU_86"
"87","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Variovorax",0,0,0,0,0,0,0,0,0,0,0,149712,0,0,0,417176,0,0,0,0,"bOTU_87"
"88","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB93702","o__OFGB93702","f__FGB93702","g__GGB11461",0,0,0,0,0,0,0,0,0,0,0,23295,0,0,0,0,0,0,0,0,"bOTU_88"
"89","k__Bacteria","p__Candidatus_Methylomirabilota","c__Candidatus_Methylomirabilia","o__Candidatus_Methylomirabilales","f__Candidatus_Methylomirabilaceae","g__GGB77659",0,0,0,0,0,0,0,0,0,0,0,35353,0,0,0,0,0,0,0,0,"bOTU_89"
"90","k__Bacteria","p__Firmicutes","c__CFGB33139","o__OFGB33139","f__FGB33139","g__GGB60819",0,0,0,0,0,0,0,0,0,0,0,33309,0,0,0,0,0,0,0,0,"bOTU_90"
"91","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__GGB137451",0,0,303486,25884,752116,0,216744,0,0,0,0,58064,1120254,0,17380,0,0,0,81805,0,"bOTU_91"
"92","k__Bacteria","p__Nitrospirota","c__CFGB40910","o__OFGB40910","f__FGB40910","g__GGB79523",0,0,4968,0,0,0,220294,0,7107,0,0,22506,0,0,0,0,0,0,0,0,"bOTU_92"
"93","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Paracoccaceae","g__Cypionkella",0,0,1129552,8028,173366,0,21978,0,0,0,0,48877,73579,14389,0,0,0,0,987341,0,"bOTU_93"
"94","k__Bacteria","p__Candidatus_Roizmanbacteria","c__CFGB3978","o__OFGB3978","f__FGB3978","g__GGB12043",0,0,0,0,0,0,0,0,0,0,0,35119,0,0,0,0,0,0,0,0,"bOTU_94"
"95","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herminiimonas",0,0,0,0,0,0,56050,0,0,0,0,141203,4009,12314,0,16139,0,0,0,0,"bOTU_95"
