"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"2559","aOTU_2559","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAFCCJ01","g__JAFCCJ01","g__JAFCCJ01",0,0,6,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,15,0,0,1
"2560","aOTU_2560","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAFCCW01","g__JAFCCW01","g__JAFCCW01",0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0
"2561","aOTU_2561","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAFGBZ01","g__JACRDJ01","g__JACRDJ01",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"2562","aOTU_2562","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAFGBZ01","g__JAFGBZ01","g__JAFGBZ01",0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,10,0,0,0
"2563","aOTU_2563","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAGVWC01","f__JAGVWC01","f__JAGVWC01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2564","aOTU_2564","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAGVWC01","g__JAGVWC01","g__JAGVWC01",0,0,8,0,0,0,0,0,1,0,0,0,0,2,3,3,0,0,0,0,0,138,1,0,0
"2565","aOTU_2565","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JANQMZ01","g__JANQMZ01","g__JANQMZ01",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0
"2566","aOTU_2566","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__SKW153","g__SKW153","g__SKW153",0,0,1,0,0,0,0,2,10,0,0,0,0,9,0,0,0,0,0,0,0,3,20,0,0
"2567","aOTU_2567","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__UBA10191","g__UBA10191","g__UBA10191",0,0,19,3,0,0,1,1,2,0,0,12,0,9,5,14,0,0,0,0,1,44,0,0,0
"2568","aOTU_2568","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__UBA10191","g__UBA10191","s__UBA10191 sp030649735",0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0
"2569","aOTU_2569","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__VGJJ01","g__JACQJG01","g__JACQJG01",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"2570","aOTU_2570","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__VGJJ01","g__VGJJ01","g__VGJJ01",0,0,7,3,0,0,0,1,6,0,0,0,0,3,12,27,0,0,0,0,0,131,20,0,0
"2571","aOTU_2571","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__JAADDC01","f__JAADDC01","g__SZUA-1452","g__SZUA-1452",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0
"2572","aOTU_2572","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__JAADDC01","f__JAADDC01","g__WANZ01","g__WANZ01",0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0
"2573","bOTU_2573","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium","g__Methanobacterium",0,0,2,0,1,0,0,0,0,0,0,0,49,0,0,1,0,0,0,2,1,0,0,0,1
"2574","bOTU_2574","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium_B","g__Methanobacterium_B",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,0,0,0
"2575","bOTU_2575","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium_D","g__Methanobacterium_D",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"2576","bOTU_2576","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter_A","g__Methanobrevibacter_A",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2577","bOTU_2577","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera","g__Methanosphaera",0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,3,1,0,0
"2578","aOTU_2578","d__Archaea","p__Methanobacteriota","c__Methanopyri","o__Methanopyrales","f__Methanopyraceae","g__Methanopyrus","g__Methanopyrus",0,0,5,0,0,0,0,3,1,2,0,2,0,3,3,8,1,0,0,0,1,18,8,1,0
"2579","aOTU_2579","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanocaldococcaceae","f__Methanocaldococcaceae","f__Methanocaldococcaceae",0,0,10,3,0,1,0,1,8,1,1,6,2,28,2,132,0,0,10,0,2,102,8,0,0
"2580","aOTU_2580","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanocaldococcaceae","g__Methanocaldococcus","g__Methanocaldococcus",0,0,10,3,0,3,0,2,2,1,0,2,0,14,2,52,0,0,1,0,3,49,4,0,2
"2581","aOTU_2581","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanococcaceae","f__Methanococcaceae","f__Methanococcaceae",0,0,7,3,0,1,0,4,1,0,0,1,0,5,1,11,0,1,1,0,1,25,2,0,0
"2582","aOTU_2582","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanofervidicoccus","g__Methanofervidicoccus",0,0,1,1,0,1,0,3,2,1,0,0,0,3,5,3,0,0,0,0,0,14,2,2,1
"2583","aOTU_2583","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanothermococcus","g__Methanothermococcus",0,0,12,3,0,1,0,2,1,1,0,3,0,5,8,22,3,1,2,0,5,55,2,0,0
"2584","aOTU_2584","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanothermococcus_A","g__Methanothermococcus_A",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0
"2585","aOTU_2585","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Methanofastidiosales","f__B48-G16","g__B48-G16","g__B48-G16",0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"2586","aOTU_2586","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Methanofastidiosales","f__Methanofastidiosaceae","g__Methanofastidiosum","g__Methanofastidiosum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2
"2587","aOTU_2587","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Thermococcus_B","g__Thermococcus_B",0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"2588","aOTU_2588","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Thermococcus_C","g__Thermococcus_C",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2589","aOTU_2589","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","o__Anstonellales","o__Anstonellales","o__Anstonellales",0,0,4,0,0,0,0,5,2,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
"2590","aOTU_2590","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","f__Anstonellaceae","f__Anstonellaceae",0,0,2,0,0,0,0,3,8,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0
"2591","aOTU_2591","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__1-14-0-10-45-29","g__1-14-0-10-45-29",0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,10,0,0,0,0,1,10,0,0,0
"2592","aOTU_2592","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__Anstonella","g__Anstonella",0,0,4,0,0,2,0,0,12,0,0,0,1,6,3,19,0,0,0,0,0,4,3,0,0
"2593","aOTU_2593","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__CAIXYX01","g__CAIXYX01",0,0,7,1,0,0,1,7,16,2,0,1,0,30,5,8,0,0,2,0,2,5,1,0,0
"2594","aOTU_2594","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__JAGVIA01","g__JAGVIA01",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,18,0,0
"2595","aOTU_2595","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__JAOAJF01","g__JAOAJF01",0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
"2596","aOTU_2596","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__JAOAJL01","g__JAOAJL01",0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,3,1,0,0
"2597","aOTU_2597","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__JAOAKI01","g__JAOAKI01",0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,3,0,0,0,0,0,3,0,0,1
"2598","aOTU_2598","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__JAPLWZ01","g__JAPLWZ01",0,0,3,0,0,1,0,0,4,0,0,0,0,10,1,2,0,0,0,0,0,4,1,0,1
"2599","aOTU_2599","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","f__Bilamarchaeaceae","f__Bilamarchaeaceae",0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0
"2600","aOTU_2600","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__Bilamarchaeum","g__Bilamarchaeum",0,0,34,0,0,0,0,8,11,1,0,0,1,8,3,5,0,0,3,0,1,15,1,0,0
"2601","aOTU_2601","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__CAIKOA01","g__CAIKOA01",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,0
"2602","aOTU_2602","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__CAILMQ01","g__CAILMQ01",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"2603","aOTU_2603","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__JACCLJ01","g__JACCLJ01",0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0
"2604","aOTU_2604","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__JACPAS01","g__JACPAS01",0,0,1,0,0,0,0,1,2,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0
"2605","aOTU_2605","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__JAGMCT01","g__JAGMCT01",0,0,1,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
"2606","aOTU_2606","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__JAGVWJ01","g__JAGVWJ01",0,0,7,0,0,0,0,0,2,0,0,0,1,2,4,4,0,0,0,0,0,14,0,0,0
"2607","aOTU_2607","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__JAHJBR01","g__JAHJBR01",0,0,1,3,2,0,0,12,0,0,0,0,0,7,7,1,0,0,0,0,0,7,1,0,0
"2608","aOTU_2608","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__JAUSHJ01","g__JAUSHJ01",0,0,47,0,0,0,0,1,3,1,0,3,0,18,1,1,0,0,1,0,0,16,0,0,0
"2609","aOTU_2609","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Bilamarchaeaceae","g__UBA10214","g__UBA10214",0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0
"2610","aOTU_2610","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__CG1-02-47-40","g__CG1-02-47-40","g__CG1-02-47-40",0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,9,2,0,0
"2611","aOTU_2611","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__J096","g__J096","g__J096",0,0,13,0,0,0,1,1,3,0,1,1,1,2,2,8,0,1,1,0,3,7,0,0,0
"2612","aOTU_2612","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__J096","g__JAADEL01","g__JAADEL01",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,4,0
"2613","aOTU_2613","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__J096","g__JAPLWW01","g__JAPLWW01",0,0,1,0,3,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,1,9,0,1,0
"2614","aOTU_2614","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__J096","g__WAKO01","g__WAKO01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2615","aOTU_2615","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__JAGGVH01","g__JAGGVH01","g__JAGGVH01",0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0
"2616","aOTU_2616","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__UBA8471","g__UBA8471","g__UBA8471",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2617","aOTU_2617","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__CABMEP01","f__CABMEP01","g__CABMEP01","g__CABMEP01",0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,2,0,0,0
"2618","aOTU_2618","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__CABMEP01","f__CABMEP01","g__DTQF01","g__DTQF01",0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"2619","aOTU_2619","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Fermentimicrarchaeales","f__Fermentimicrarchaeaceae","g__Fermentimicrarchaeum","g__Fermentimicrarchaeum",0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,5,4,0,0
"2620","aOTU_2620","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__JACQQB01","f__JACQQB01","g__JACQQB01","g__JACQQB01",0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0
"2621","aOTU_2621","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","f__CABMGC01","f__CABMGC01",0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"2622","aOTU_2622","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","g__JAGDXY01","g__JAGDXY01",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2623","aOTU_2623","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","g__JAJYVH01","g__JAJYVH01",0,0,3,2,0,0,0,0,1,1,2,1,1,2,3,4,0,0,1,1,2,1,2,1,3
"2624","aOTU_2624","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","g__JAJYVZ01","g__JAJYVZ01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2625","aOTU_2625","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","g__JAJZIZ01","g__JAJZIZ01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2626","aOTU_2626","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","g__JAJZNA01","g__JAJZNA01",0,0,2,0,0,0,0,0,0,1,0,0,0,4,1,4,0,0,1,0,1,1,0,0,0
"2627","aOTU_2627","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CABMGC01","g__JAKAVK01","g__JAKAVK01",0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,0
"2628","aOTU_2628","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeaceae","g__CAISDH01","g__CAISDH01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"2629","aOTU_2629","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeaceae","g__JAKATY01","g__JAKATY01",0,0,3,0,0,0,0,0,1,2,0,1,0,3,0,1,0,0,0,0,5,1,0,0,0
"2630","aOTU_2630","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeaceae","g__JAMCYM01","g__JAMCYM01",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"2631","aOTU_2631","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeaceae","g__JAMCYW01","g__JAMCYW01",0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2632","aOTU_2632","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeaceae","g__Micrarchaeum_A","g__Micrarchaeum_A",0,0,2,25,0,1,1,17,1,1,3,0,1,1,0,0,0,5,0,0,0,0,5,0,2
"2633","aOTU_2633","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","o__Norongarragalinales","o__Norongarragalinales","o__Norongarragalinales",0,0,3,0,0,0,0,0,1,0,0,0,10,7,1,22,0,0,0,0,0,26,14,0,0
"2634","aOTU_2634","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__CAITNU01","g__CAITNU01","g__CAITNU01",0,0,2,0,0,3,0,0,1,1,0,0,0,6,3,0,0,0,0,0,0,6,3,0,0
"2635","aOTU_2635","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__DTNV01","g__DTNV01","g__DTNV01",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,0
"2636","aOTU_2636","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__JACPGT01","g__JACPGT01","g__JACPGT01",0,0,13,0,0,0,0,2,3,0,0,0,0,21,16,136,0,0,0,0,0,182,0,0,0
"2637","aOTU_2637","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__JAHFHC01","g__JAHFHC01","g__JAHFHC01",0,0,44,14,0,0,0,0,9,0,0,1,0,9,3,11,0,0,0,0,0,87,3,0,0
"2638","aOTU_2638","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__JAHFHC01","g__JAHFHC01","s__JAHFHC01 sp023247085",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2639","aOTU_2639","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__JAHFHC01","g__JAHFHC01","s__JAHFHC01 sp030697615",0,0,173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2640","aOTU_2640","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__JAPLXB01","g__JAPLXB01","g__JAPLXB01",0,0,4,0,0,0,0,0,3,0,0,0,0,1,1,3,0,0,0,0,2,9,3,0,0
"2641","aOTU_2641","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__Norongarragalinaceae","g__UBA93","g__UBA93",0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,3,0,0,3,1,0,0
"2642","aOTU_2642","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__Norongarragalinaceae","g__UBA95","g__UBA95",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,2,0,0
"2643","aOTU_2643","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA10210","g__JABWCK01","g__JABWCK01",0,0,1,0,0,0,0,2,4,0,0,0,0,4,0,1,0,0,0,0,0,22,2,0,0
"2644","aOTU_2644","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA10210","g__UBA10210","g__UBA10210",0,0,13,0,0,0,0,0,1,2,0,0,0,3,3,5,0,0,0,0,0,73,17,0,0
"2645","aOTU_2645","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA8480","g__UBA8480","g__UBA8480",0,0,6,1,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0
"2646","aOTU_2646","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA97","f__UBA97","f__UBA97",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"2647","aOTU_2647","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA97","g__JACQBR01","g__JACQBR01",0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,3,0,0
"2648","aOTU_2648","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA97","g__JACRGG01","g__JACRGG01",0,0,1,1,0,8,1,1,0,0,1,5,0,3,1,0,0,4,1,0,0,7,1,0,0
"2649","aOTU_2649","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA97","g__JAGVFW01","g__JAGVFW01",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,99,8,0,0
"2650","aOTU_2650","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA97","g__JAJXUZ01","g__JAJXUZ01",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0
"2651","aOTU_2651","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__UBA97","g__UBA97","g__UBA97",0,0,2,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0
"2652","aOTU_2652","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__WALN01","g__WALN01","g__WALN01",0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0
"2653","aOTU_2653","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","c__Nanoarchaeia","c__Nanoarchaeia","c__Nanoarchaeia","c__Nanoarchaeia",0,0,152,4,0,4,0,15,39,0,0,41,0,74,23,153,21,0,7,0,14,189,10,28,23
"2654","aOTU_2654","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__CSSed11-243R1","f__CSSed11-243R1","g__JAGGWW01","g__JAGGWW01",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4,0
"2655","aOTU_2655","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__CSSed11-243R1","f__CSSed11-243R1","g__WALP01","g__WALP01",0,0,5,2,0,0,0,1,3,1,0,1,0,6,4,2,2,0,4,0,7,19,8,13,0
"2656","aOTU_2656","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__JAAOXT01","f__JAAOXT01","g__JAAOXT01","g__JAAOXT01",0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0
"2657","aOTU_2657","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__JAQUSD01","f__JAQUSD01","g__JAQUSD01","g__JAQUSD01",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
"2658","aOTU_2658","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Nanoarchaeales","f__Nanoarchaeaceae","g__Nanoarchaeum","g__Nanoarchaeum",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
"2659","aOTU_2659","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__PEZQ01","f__PEZQ01","g__PEZQ01","g__PEZQ01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2660","aOTU_2660","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","o__Pacearchaeales","o__Pacearchaeales","o__Pacearchaeales",0,0,6,0,0,0,0,0,4,0,0,1,0,14,5,7,0,0,1,0,3,31,2,0,0
"2661","aOTU_2661","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__CG1-02-31-27","g__CG1-02-31-27","g__CG1-02-31-27",0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"2662","aOTU_2662","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__DTIR01","g__JACRHU01","g__JACRHU01",0,0,9,1,0,0,0,1,6,0,0,7,0,28,17,2,0,0,0,0,2,10,7,0,0
"2663","aOTU_2663","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__DTIR01","g__JAGVXL01","g__JAGVXL01",0,0,1,1,0,0,0,0,1,0,0,0,0,19,13,0,0,0,0,0,0,4,0,0,0
